id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
976912,Graphic Desires,2023,Thriller|Crime,6.938,65,91.1954,en,0,0
502356,The Super Mario Bros. Movie,2023,Family|Comedy|Adventure|Fantasy|Animation,7.596,10677,42.4097,en,100000000,1360879735
1010581,My Fault,2023,Drama|Romance|Thriller,7.739,4057,36.856,es,0,0
1075175,How to Have Sex,2023,Drama,6.239,496,29.2424,en,0,1216642
872585,Oppenheimer,2023,Drama|History,8.031,11739,27.103,en,100000000,952000000
1087040,Money Shot: The Pornhub Story,2023,Documentary,5.763,355,22.2772,en,0,0
346698,Barbie,2023,Comedy|Adventure|Fantasy,6.925,11079,26.2774,en,145000000,1447138421
848116,Rocky Aur Rani Kii Prem Kahaani,2023,Comedy|Drama|Family|Romance,6.157,86,20.866,hi,0,0
385687,Fast X,2023,Action|Crime|Thriller,6.996,6303,21.8455,en,340000000,704709660
603692,John Wick: Chapter 4,2023,Action|Thriller|Crime,7.706,7892,20.6561,en,100000000,447316405
1031774,Thriller 40,2023,Documentary|Music,8.565,107,21.3165,en,0,0
569094,Spider-Man: Across the Spider-Verse,2023,Animation|Action|Adventure|Science Fiction,8.335,8575,24.7553,en,100000000,690897910
447365,Guardians of the Galaxy Vol. 3,2023,Science Fiction|Adventure|Action,7.929,8286,15.2742,en,250000000,845550000
976893,Perfect Days,2023,Drama,7.792,1895,16.3305,ja,14000000,24094016
713704,Evil Dead Rise,2023,Horror|Thriller,6.92,3652,13.8544,en,15000000,147256372
1072790,Anyone But You,2023,Romance|Comedy,6.78,3056,14.3944,en,25000000,214891370
572802,Aquaman and the Lost Kingdom,2023,Action|Adventure|Fantasy,6.526,3473,14.3239,en,205000000,440181226
1029575,The Family Plan,2023,Action|Comedy|Family,7.218,1870,17.7663,en,0,0
493529,Dungeons & Dragons: Honor Among Thieves,2023,Adventure|Fantasy|Comedy,7.341,4600,14.2926,en,151000000,208200000
976573,Elemental,2023,Animation|Comedy|Family|Fantasy|Romance,7.577,5277,14.1651,en,200000000,496444308
940551,Migration,2023,Family|Comedy|Adventure|Animation,7.351,2234,13.0195,en,72000000,298776052
667538,Transformers: Rise of the Beasts,2023,Science Fiction|Adventure|Action,7.172,5255,13.0426,en,195000000,441381193
575264,Mission: Impossible - Dead Reckoning Part One,2023,Action|Thriller|Adventure,7.503,5098,12.4506,en,220000000,571125435
1181678,¿Quieres ser mi hijo?,2023,Comedy|Romance,8.481,336,12.7911,en,0,0
792307,Poor Things,2023,Science Fiction|Romance|Comedy,7.641,5467,11.2053,en,35000000,117607117
299054,Expend4bles,2023,Action|Adventure|Thriller,6.074,1876,11.0905,en,100000000,37917985
508883,The Boy and the Heron,2023,Animation|Fantasy|Drama,7.403,2625,11.6474,ja,50000000,294200000
897087,Freelance,2023,Action|Comedy,6.405,1155,10.7722,en,40000000,9112817
1034062,Mortal Kombat Legends: Cage Match,2023,Animation|Action|Fantasy,6.768,149,10.8141,en,0,0
940721,Godzilla Minus One,2023,Science Fiction|Horror|Action,7.572,3155,10.5584,ja,15000000,113676322
1057491,Naughty,2023,Drama,6.176,102,16.6018,ru,0,0
926393,The Equalizer 3,2023,Action|Thriller|Crime,7.287,3698,12.4629,en,70000000,191067560
298618,The Flash,2023,Action|Science Fiction|Adventure,6.615,4976,10.9561,en,220000000,271333313
934433,Scream VI,2023,Horror|Thriller|Crime,6.953,3167,11.3643,en,33000000,169063850
666277,Past Lives,2023,Drama|Romance,7.708,2305,10.0619,en,12000000,28126646
930094,Red  White & Royal Blue,2023,Comedy|Romance,7.923,1545,9.5373,en,20000000,0
787699,Wonka,2023,Comedy|Family|Fantasy,7.039,4372,10.0289,en,125000000,634502312
615656,Meg 2: The Trench,2023,Action|Science Fiction|Horror,6.376,3952,10.1302,en,129000000,398500317
447277,The Little Mermaid,2023,Adventure|Family|Fantasy|Romance,6.278,3307,11.6448,en,297000000,569626289
882569,Guy Ritchie's The Covenant,2023,War|Action|Thriller,7.72,3159,10.0242,en,55000000,21948551
893723,PAW Patrol: The Mighty Movie,2023,Adventure|Animation|Comedy|Family|Science Fiction,6.962,546,10.1553,en,30000000,202231360
677179,Creed III,2023,Drama|Action,7.078,2867,7.7664,en,75000000,275300000
980489,Gran Turismo,2023,Adventure|Drama|Action,7.705,3380,9.0945,en,60000000,121700000
640146,Ant-Man and the Wasp: Quantumania,2023,Action|Adventure|Science Fiction,6.226,5813,8.8355,en,200000000,476071180
1050035,Monster,2023,Mystery|Thriller|Drama,7.923,881,9.0962,ja,0,0
507089,Five Nights at Freddy's,2023,Horror|Thriller,7.3,5001,9.7178,en,20000000,297242145
466420,Killers of the Flower Moon,2023,Crime|History|Drama,7.4,4104,9.4685,en,200000000,158722599
968051,The Nun II,2023,Horror,6.641,2456,8.4185,en,38500000,269670590
695721,The Hunger Games: The Ballad of Songbirds & Snakes,2023,Science Fiction|Action,6.985,3489,7.6285,en,100000000,337371917
697843,Extraction 2,2023,Action|Thriller|Crime,7.381,2884,8.2216,en,65000000,0
812037,Last Summer,2023,Drama,6.091,246,8.7513,fr,0,1022551
609681,The Marvels,2023,Science Fiction|Adventure|Action,5.942,3361,8.9682,en,274800000,206136825
1157008,Dime lo que quieres (de verdad),2023,Romance|Drama|Comedy,8.0,29,10.6079,es,0,0
670292,The Creator,2023,Science Fiction|Action|Adventure,7.012,3814,8.2771,en,80000000,104272136
1078023,The King of Snipers,2023,Action|Crime|Comedy|War,5.636,11,6.8813,zh,0,0
868759,Ghosted,2023,Action|Comedy|Romance,6.9,2179,7.4665,en,40000000,0
1173558,Burning Betrayal,2023,Drama|Mystery|Romance,6.231,242,7.1553,pt,0,0
856289,Creation of the Gods I: Kingdom of Storms,2023,Action|Fantasy|War,7.1,479,7.3989,zh,85000000,369081777
335977,Indiana Jones and the Dial of Destiny,2023,Adventure|Action,6.512,4131,8.5814,en,294700000,383963057
915935,Anatomy of a Fall,2023,Thriller|Mystery|Crime,7.521,3281,8.1071,fr,6700000,35634133
646389,Plane,2023,Action|Adventure|Thriller,6.895,2646,8.5831,en,25000000,74515586
700391,65,2023,Action|Adventure|Science Fiction,5.943,2830,7.6364,en,45000000,60730568
