id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
458293,Michael Jackson: Searching for Neverland,2017,Drama|TV Movie,6.541,111,52.6979,en,2000000,0
440249,After Porn Ends 2,2017,Documentary,5.4,251,41.8266,en,500000,0
441168,From Straight A's to XXX,2017,Drama|TV Movie,5.8,161,37.8542,en,0,0
354912,Coco,2017,Family|Animation|Music|Adventure,8.197,20936,22.1372,en,175000000,814641172
335984,Blade Runner 2049,2017,Science Fiction|Drama,7.593,15095,23.8623,en,150000000,259239658
315635,Spider-Man: Homecoming,2017,Action|Adventure|Science Fiction,7.331,23125,26.245,en,175000000,880978185
181808,Star Wars: The Last Jedi,2017,Adventure|Action|Science Fiction,6.752,16306,19.7709,en,300000000,1334407706
426889,Le Clitoris,2017,Animation|Documentary,6.756,43,19.5766,fr,0,0
284053,Thor: Ragnarok,2017,Action|Science Fiction|Comedy,7.58,21976,12.8721,en,180000000,855301806
324552,John Wick: Chapter 2,2017,Action|Thriller|Crime,7.337,14223,12.9994,en,40000000,171539887
260514,Cars 3,2017,Animation|Drama|Family,6.858,6374,13.6136,en,175000000,383925276
346364,It,2017,Horror|Thriller|Drama,7.24,20288,12.3761,en,35000000,719766009
283995,Guardians of the Galaxy Vol. 2,2017,Science Fiction|Adventure|Action,7.609,22897,12.8737,en,200000000,863756051
263115,Logan,2017,Action|Drama|Science Fiction,7.819,20366,12.4058,en,97000000,619021436
406997,Wonder,2017,Family|Drama,8.107,8243,11.5117,en,20000000,315025930
419430,Get Out,2017,Mystery|Thriller|Horror,7.622,18841,13.6087,en,4500000,255407969
297762,Wonder Woman,2017,Action|Adventure|Fantasy,7.209,20882,17.0785,en,149000000,823970682
47971,xXx: Return of Xander Cage,2017,Action|Adventure|Crime,6.133,9217,12.4583,en,85000000,346118277
166426,Pirates of the Caribbean: Dead Men Tell No Tales,2017,Adventure|Action|Fantasy,6.656,12781,12.2539,en,230000000,795922298
411088,The Invisible Guest,2017,Drama|Mystery|Thriller,8.081,4971,11.1832,es,4000000,30000000
321612,Beauty and the Beast,2017,Family|Fantasy|Romance,7.0,15991,11.9853,en,160000000,1266115964
378236,The Emoji Movie,2017,Animation|Family|Comedy,5.39,3316,10.2178,en,50000000,216909830
381288,Split,2017,Horror|Thriller,7.341,18302,10.4279,en,9000000,278454358
374720,Dunkirk,2017,War|Action|Drama,7.452,17539,11.4247,en,150000000,549136737
316029,The Greatest Showman,2017,Drama,7.858,10045,10.6638,en,84000000,459066134
293167,Kong: Skull Island,2017,Action|Adventure|Fantasy,6.553,11111,10.7185,en,185000000,566652812
538751,The Day of Swapping,2017,Romance,5.8,16,11.7596,ko,0,0
339403,Baby Driver,2017,Action|Crime,7.443,16806,10.8066,en,34000000,226945087
126889,Alien: Covenant,2017,Horror|Science Fiction,6.174,9389,10.2193,en,97000000,240891763
479718,The Outlaws,2017,Action|Crime|Thriller,7.653,538,8.9797,ko,5900000,52946454
274857,King Arthur: Legend of the Sword,2017,Action|Drama|Fantasy,6.557,6045,10.5745,en,175000000,149175066
398818,Call Me by Your Name,2017,Romance|Drama,8.1,12734,9.6562,en,3500000,43143046
400928,Gifted,2017,Drama|Comedy,7.998,5931,9.2894,en,7000000,40300000
141052,Justice League,2017,Action|Adventure|Science Fiction,6.073,13653,10.4786,en,300000000,661326987
370663,Below Her Mouth,2017,Drama|Romance,6.794,1283,9.0953,en,0,33673
482706,Oligosaccharide The Movie,2017,Drama,4.5,11,8.675,ko,0,0
335988,Transformers: The Last Knight,2017,Action|Adventure|Science Fiction,6.055,6694,8.7547,en,217000000,605425157
353486,Jumanji: Welcome to the Jungle,2017,Adventure|Comedy|Fantasy|Action,6.819,14457,8.7311,en,90000000,995339117
281338,War for the Planet of the Apes,2017,Drama|Science Fiction|War,7.217,9700,8.4688,en,150000000,490719763
395834,Wind River,2017,Crime|Mystery|Drama|Thriller,7.438,5763,9.175,en,11000000,44998252
337339,The Fate of the Furious,2017,Action|Crime|Thriller,6.853,10801,8.5148,en,250000000,1236000000
341174,Fifty Shades Darker,2017,Drama|Romance,6.474,7928,8.4958,en,55000000,381545846
339964,Valerian and the City of a Thousand Planets,2017,Adventure|Science Fiction|Action,6.635,7981,7.0684,en,177200000,225973340
339846,Baywatch,2017,Comedy|Action|Crime,6.085,8486,7.4763,en,69000000,177900000
343668,Kingsman: The Golden Circle,2017,Action|Adventure|Comedy|Crime|Science Fiction,6.945,11117,7.7274,en,104000000,410902662
532794,Sex Plate 17,2017,Comedy|Drama|Romance,6.192,13,8.1904,ko,0,0
282035,The Mummy,2017,Fantasy|Thriller|Action|Adventure|Horror,5.517,7623,8.0893,en,125000000,409231607
315837,Ghost in the Shell,2017,Science Fiction|Drama|Action,6.106,8556,7.4659,en,110000000,169801921
341013,Atomic Blonde,2017,Action|Thriller,6.436,6623,6.5063,en,30000000,100014025
274855,Geostorm,2017,Action|Science Fiction|Thriller,6.118,5160,7.469,en,120000000,221600160
339692,Shot Caller,2017,Crime|Drama|Thriller,6.958,2224,6.9966,en,0,0
537971,Mia,2017,Drama|Documentary,6.156,32,6.7096,es,0,0
390043,The Hitman's Bodyguard,2017,Action|Comedy|Crime|Thriller,6.894,6653,6.7648,en,30000000,176586701
392044,Murder on the Orient Express,2017,Mystery|Drama|Crime,6.708,10528,8.4988,en,55000000,352800000
324852,Despicable Me 3,2017,Action|Animation|Comedy|Family|Adventure,6.467,7621,6.592,en,80000000,1034800131
337170,American Made,2017,Comedy|Crime|Drama,6.902,4969,7.3217,en,50000000,133511855
305470,Power Rangers,2017,Action|Adventure|Science Fiction,6.252,4624,6.3296,en,105000000,142300000
396371,Molly's Game,2017,Drama|Crime,7.148,4020,6.4773,en,30000000,59284015
399055,The Shape of Water,2017,Drama|Fantasy|Romance,7.237,12834,6.6102,en,19500000,195300000
415842,American Assassin,2017,Action|Adventure|Thriller,6.416,3245,5.9815,en,33000000,67200000
396422,Annabelle: Creation,2017,Horror,6.609,5978,6.589,en,15000000,306592201
391713,Lady Bird,2017,Drama|Comedy,7.251,9008,6.3568,en,10000000,79000000
364689,Ferdinand,2017,Animation|Family|Adventure|Comedy,7.213,3083,5.8714,en,111000000,295038508
324849,The Lego Batman Movie,2017,Animation|Action|Comedy|Family,7.241,5391,6.2738,en,80000000,311950384
340837,A Cure for Wellness,2017,Horror|Mystery|Science Fiction,6.353,4174,5.6894,en,40000000,26620002
399404,Darkest Hour,2017,Drama|History,7.357,5517,6.204,en,30000000,150847207
399057,The Killing of a Sacred Deer,2017,Drama|Thriller|Mystery,7.007,4433,6.2181,en,3000000,10700000
434203,Newness,2017,Romance|Drama,6.051,625,6.3068,en,10000000,0
397567,Along with the Gods: The Two Worlds,2017,Action|Adventure|Drama|Fantasy|Thriller,8.035,1184,6.9077,ko,18300000,125983972
451156,Infidelity in Suburbia,2017,Thriller|TV Movie,6.2,156,5.8777,en,0,0
389015,I  Tonya,2017,Drama|Comedy,7.47,6181,5.8327,en,11000000,53900000
395992,Life,2017,Horror|Science Fiction|Mystery,6.452,7909,5.3456,en,58000000,100541806
467938,Revenge,2017,Action|Horror|Thriller|Drama,6.513,2079,5.6591,fr,2900000,938055
379149,The Foreigner,2017,Action|Thriller|Crime,6.971,2917,5.6762,en,35000000,145374099
433498,Papillon,2017,Adventure|Crime|Drama,7.325,2129,5.439,en,0,10060903
419479,The Babysitter,2017,Comedy|Horror,6.181,3891,5.2839,en,0,0
458354,Sleeping Beauties,2017,Fantasy|Comedy,4.5,17,4.9472,en,0,0
447759,Adult Only Institute,2017,Comedy|Drama|Romance,4.667,15,4.7796,ko,0,0
406990,What Happened to Monday,2017,Science Fiction|Thriller|Mystery|Action,7.148,6429,5.2251,en,20000000,27975429
395991,Only the Brave,2017,Drama|History,7.455,1858,4.7578,en,38000000,25754775
399366,Marrowbone,2017,Thriller|Horror|Mystery,7.3,1825,5.1028,es,8000000,12294931
346648,Paddington 2,2017,Adventure|Comedy|Family,7.476,2779,5.0593,en,40000000,290132513
381283,mother!,2017,Horror|Drama,6.96,7088,5.4225,en,30000000,44516999
488623,Forgotten,2017,Thriller|Mystery|Crime,7.886,1324,4.3283,ko,0,9968972
441701,Veronica,2017,Horror,6.237,1867,5.2599,es,0,0
359940,Three Billboards Outside Ebbing  Missouri,2017,Crime|Drama,8.057,10884,5.4371,en,15000000,162729321
483664,PlayBoy (and the Gang of Cherry),2017,Action|Crime|Drama,4.35,10,4.6149,th,0,0
345938,The Shack,2017,Drama|Family,7.498,2245,5.2628,en,20000000,96942115
458083,Covet: Island of Desire,2017,Romance,5.5,14,4.3444,ko,0,0
390062,Jungle,2017,Adventure|Drama|Thriller,6.647,2125,4.1675,en,0,1906640
