id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
530442,My Teacher  My Obsession,2018,Drama|Thriller|TV Movie,5.0,105,54.3495,en,0,0
299536,Avengers: Infinity War,2018,Adventure|Action|Science Fiction,8.235,31934,42.7952,en,300000000,2052415039
324857,Spider-Man: Into the Spider-Verse,2018,Animation|Action|Adventure|Science Fiction,8.393,17190,21.5227,en,90000000,394884133
337167,Fifty Shades Freed,2018,Drama|Romance,6.675,8338,21.7519,en,55000000,371985018
284054,Black Panther,2018,Action|Adventure|Science Fiction,7.363,23457,17.4953,en,200000000,1349926083
333339,Ready Player One,2018,Adventure|Action|Science Fiction,7.585,16873,14.4525,en,175000000,607274134
493922,Hereditary,2018,Horror|Mystery|Thriller,7.3,8550,13.8121,en,10000000,87796204
490132,Green Book,2018,Drama|Comedy|History,8.224,12836,14.8111,en,23000000,321752656
512412,Backtrace,2018,Crime|Action|Adventure|Thriller,5.0,251,7.1747,en,0,0
450001,Master Z: Ip Man Legacy,2018,Action|Crime|Drama,6.513,588,7.0608,cn,0,21832649
383498,Deadpool 2,2018,Action|Comedy|Adventure,7.49,19188,13.7221,en,110000000,785896632
447332,A Quiet Place,2018,Horror|Drama|Science Fiction,7.392,15310,12.0209,en,17000000,340955294
439079,The Nun,2018,Horror,5.904,7157,13.1056,en,22000000,366082797
260513,Incredibles 2,2018,Action|Adventure|Animation|Family,7.451,13658,11.0582,en,200000000,1243225667
424694,Bohemian Rhapsody,2018,Music|Drama,7.957,17752,10.2538,en,52000000,910813521
351286,Jurassic World: Fallen Kingdom,2018,Adventure|Science Fiction|Thriller,6.531,12735,10.3358,en,170000000,1310469037
508642,Gonjiam: Haunted Asylum,2018,Horror|Mystery,7.3,915,10.8888,ko,0,21041950
335983,Venom,2018,Science Fiction|Action,6.826,17204,10.0685,en,116000000,856085151
400535,Sicario: Day of the Soldado,2018,Action|Crime|Thriller,6.94,4026,9.9252,en,35000000,75836683
297802,Aquaman,2018,Action|Adventure|Fantasy,6.867,14884,10.6707,en,160000000,1152028393
353081,Mission: Impossible - Fallout,2018,Action|Adventure,7.449,9113,10.3579,en,178000000,824171374
345940,The Meg,2018,Action|Science Fiction|Horror,6.247,8176,10.8299,en,150000000,530517320
363088,Ant-Man and the Wasp,2018,Action|Adventure|Science Fiction,6.903,14159,8.5322,en,140000000,622674139
504056,Big Brother,2018,Action|Drama|Comedy,7.511,263,11.1404,zh,0,0
460555,Operation Red Sea,2018,Action|Thriller|War|Adventure,7.43,433,6.4136,zh,70000000,579330426
427641,Rampage,2018,Action|Adventure|Science Fiction,6.447,7490,9.0899,en,120000000,428028233
300668,Annihilation,2018,Science Fiction|Horror,6.441,9338,9.4878,en,40000000,43070915
499191,Call Boy,2018,Drama,6.509,55,9.2419,ja,0,0
530254,The Witch: Part 1. The Subversion,2018,Action|Science Fiction,7.911,734,8.9693,ko,5500000,24340302
338970,Tomb Raider,2018,Action|Adventure|Fantasy,6.366,8340,8.6929,en,94000000,274650803
480530,Creed II,2018,Drama|Action,7.03,5780,8.5857,en,50000000,214200000
404368,Ralph Breaks the Internet,2018,Action|Adventure|Animation|Comedy|Family|Science Fiction,7.16,8085,8.1627,en,175000000,529323962
345887,The Equalizer 2,2018,Action|Thriller|Crime,6.786,5955,10.5982,en,62000000,190400157
458423,Mamma Mia! Here We Go Again,2018,Comedy|Romance,7.1,3567,7.8694,en,75000000,395607854
402900,Ocean's Eight,2018,Crime|Comedy|Action,6.957,8774,8.8177,en,70000000,297718711
420634,Terrifier,2018,Horror,6.312,2950,9.2501,en,35000,421798
348350,Solo: A Star Wars Story,2018,Science Fiction|Adventure|Action,6.558,9244,8.119,en,250000000,392952373
424783,Bumblebee,2018,Action|Adventure|Science Fiction,6.72,6610,8.2252,en,135000000,467989645
532814,The Bad Seed,2018,Horror|Thriller|TV Movie,7.031,335,8.002,en,0,0
336843,Maze Runner: The Death Cure,2018,Science Fiction|Action|Adventure|Thriller,7.082,8378,8.7502,en,62000000,288418190
500664,Upgrade,2018,Action|Thriller|Science Fiction,7.504,4991,8.0143,en,3000000,16976561
346910,The Predator,2018,Science Fiction|Action|Thriller,5.623,5128,8.1197,en,88000000,160542134
449443,Den of Thieves,2018,Crime|Thriller|Action,6.9,3390,7.8359,en,30000000,80509622
400155,Hotel Transylvania 3: Summer Vacation,2018,Animation|Comedy|Family|Fantasy,6.852,4694,8.4378,en,80000000,528600000
360920,The Grinch,2018,Animation|Comedy|Family|Fantasy,6.867,4430,7.4447,en,75000000,552976825
549590,Ordinary People,2018,Action|Crime|Thriller|Mystery,7.495,107,7.6585,ko,0,3388675
454983,The Kissing Booth,2018,Romance|Comedy,7.163,7443,7.5217,en,0,0
399174,Isle of Dogs,2018,Adventure|Comedy|Animation,7.848,5399,7.2161,en,35000000,72991435
268896,Pacific Rim: Uprising,2018,Action|Fantasy|Science Fiction|Adventure,6.126,5322,7.1859,en,150000000,290061297
405774,Bird Box,2018,Horror|Thriller|Drama,6.825,10557,6.6013,en,19800000,0
399402,Hunter Killer,2018,Action|Adventure|Thriller,6.908,2396,6.9139,en,40000000,31672678
466282,To All the Boys I've Loved Before,2018,Comedy|Romance,7.594,8708,5.8978,en,0,0
504253,I Want to Eat Your Pancreas,2018,Animation|Drama|Romance,8.228,1774,6.1789,ja,0,33748006
419743,Disobedience,2018,Drama|Romance,6.887,1284,6.944,en,6000000,8000000
529216,Mirage,2018,Thriller|Drama|Mystery|Fantasy,7.454,1981,5.8057,es,0,17325485
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,Fantasy|Adventure,6.835,11451,5.9628,en,200000000,654900000
401981,Red Sparrow,2018,Thriller|Mystery,6.533,6351,7.1677,en,69000000,151572634
476292,Maquia: When the Promised Flower Blooms,2018,Animation|Fantasy|Drama,8.144,703,5.2877,ja,0,4345395
395990,Death Wish,2018,Action|Crime|Thriller|Drama,6.233,2795,7.5213,en,30000000,34017028
445571,Game Night,2018,Mystery|Comedy|Crime,6.845,6283,5.5719,en,37000000,117501013
491584,Burning,2018,Mystery|Drama|Thriller,7.375,1814,6.1099,ko,7280000,6591038
428078,Mortal Engines,2018,Adventure|Science Fiction,6.2,5093,5.7225,en,100000000,83869818
491418,Instant Family,2018,Comedy|Drama,7.496,3228,5.3521,en,48000000,121000000
332562,A Star Is Born,2018,Music|Drama|Romance,7.493,12223,5.8208,en,36000000,436388866
455207,Crazy Rich Asians,2018,Comedy|Romance,7.051,3954,5.0129,en,30000000,238539198
429351,12 Strong,2018,War|Drama|Action|History,6.359,3185,5.4461,en,35000000,67450815
449176,Love  Simon,2018,Comedy|Drama|Romance,7.974,6258,4.565,en,17000000,66316289
384521,The Cloverfield Paradox,2018,Horror|Mystery|Science Fiction,5.6,3549,4.6698,en,45000000,0
369972,First Man,2018,History|Drama,7.042,5647,4.6643,en,70000000,105713218
517814,Capernaum,2018,Drama,8.14,1971,4.6507,ar,4000000,64978931
399360,Alpha,2018,Adventure|Drama,6.538,2744,4.8091,en,51000000,99630675
518068,Along with the Gods: The Last 49 Days,2018,Action|Adventure|Fantasy|Thriller,8.039,747,5.0762,ko,18300000,112790210
505262,My Hero Academia: Two Heroes,2018,Animation|Action|Adventure|Fantasy,7.882,1105,5.4085,ja,12000000,27507549
543753,High Society,2018,Drama,5.5,59,5.0005,ko,0,4300000
504172,The Mule,2018,Crime|Drama,6.9,5349,5.0197,en,50000000,174800000
440471,Escape Plan 2: Hades,2018,Action|Thriller|Crime|Mystery|Science Fiction,5.168,1553,5.4216,en,20000000,17592626
454619,Overboard,2018,Romance|Comedy,6.66,1492,4.7559,en,12000000,91244913
505192,Shoplifters,2018,Drama|Crime|Thriller,7.8,2294,4.7972,ja,0,0
537996,The Ballad of Buster Scruggs,2018,Western|Comedy|Drama,7.134,4412,4.5248,en,0,0
438799,Overlord,2018,Horror|War|Science Fiction,6.729,3116,3.5624,en,38000000,41657844
487558,BlacKkKlansman,2018,Crime|Comedy|Drama|History,7.492,8089,5.1178,en,15000000,93411426
480681,An Affair,2018,Drama,5.4,61,4.6267,no,0,0
407436,Mowgli: Legend of the Jungle,2018,Adventure|Drama,6.477,2597,4.8495,en,175000000,0
417812,Wildlife,2018,Drama,6.627,778,3.9507,en,0,3097257
406563,Insidious: The Last Key,2018,Horror|Thriller,6.253,3127,4.8326,en,10000000,172811971
401478,Death Race: Beyond Anarchy,2018,Action|Thriller|Science Fiction,6.232,386,4.5446,en,0,0
489999,Searching,2018,Drama|Mystery|Thriller,7.569,4224,4.5757,en,880000,75636047
499726,MILF,2018,Comedy|Romance,5.704,597,4.1352,fr,0,1100000
484247,A Simple Favor,2018,Thriller|Comedy|Mystery,6.641,4585,4.8012,en,20000000,97644617
476299,Ghostland,2018,Horror|Mystery|Thriller,7.394,2655,4.5146,en,0,0
424139,Halloween,2018,Horror|Thriller,6.566,5042,4.9905,en,10000000,259939869
361292,Suspiria,2018,Horror|Mystery|Drama,6.902,2754,5.0905,en,20000000,7953089
437543,The Monkey King 3,2018,Adventure|Fantasy|Action|Family,5.8,61,3.8826,zh,87000000,115089944
446021,Bad Times at the El Royale,2018,Thriller|Mystery|Crime,6.846,3858,4.6987,en,32000000,31882724
553512,Burn the Stage: The Movie,2018,Music|Documentary,8.34,431,4.4935,ko,0,0
449992,The Night Comes for Us,2018,Action|Crime|Thriller,6.9,794,4.1643,id,2000000,0
417261,Forever My Girl,2018,Romance|Drama,7.608,1377,4.6913,en,3500000,16367326
470878,I Can Only Imagine,2018,Music|Drama,7.525,500,3.8977,en,7000000,86086881
439015,Slender Man,2018,Horror|Mystery|Thriller,4.297,2150,4.5916,en,10000000,51738549
