id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
1241752,Rita,2024,Drama,6.045,22,176.0548,tl,1,2
1173559,Insidious Inferno,2024,Horror,5.778,18,39.4871,en,0,0
1184918,The Wild Robot,2024,Family|Animation|Science Fiction|Adventure,8.307,6050,29.7711,en,78000000,331982078
866398,The Beekeeper,2024,Action|Crime|Thriller,7.247,4191,29.5475,en,35000000,162619535
533535,Deadpool & Wolverine,2024,Action|Comedy|Science Fiction,7.562,8613,29.9318,en,200000000,1338073645
1022789,Inside Out 2,2024,Animation|Adventure|Comedy|Family,7.545,6664,30.2836,en,200000000,1698863816
1002398,Donselya,2024,Drama|Romance,6.45,20,31.3862,tl,0,0
693134,Dune: Part Two,2024,Science Fiction|Adventure,8.127,7919,26.4453,en,190000000,714844358
1241982,Moana 2,2024,Adventure|Animation|Comedy|Family|Fantasy,6.999,3059,26.6411,en,150000000,1059242164
519182,Despicable Me 4,2024,Action|Animation|Comedy|Family|Science Fiction,6.987,3188,22.5436,en,100000000,972021410
1011985,Kung Fu Panda 4,2024,Action|Adventure|Animation|Comedy|Family|Fantasy,6.998,3489,25.0512,en,80000000,548040835
939243,Sonic the Hedgehog 3,2024,Action|Science Fiction|Comedy|Family,7.614,3265,22.2499,en,122000000,492162604
402431,Wicked,2024,Drama|Romance|Fantasy,6.9,3013,21.2698,en,150000000,758827029
933260,The Substance,2024,Horror|Science Fiction|Thriller,7.134,5970,20.3094,en,17500000,77316812
823464,Godzilla x Kong: The New Empire,2024,Action|Adventure|Science Fiction,7.05,4651,17.9307,en,150000000,571750016
1270125,Monster on a Plane,2024,Horror|Comedy,4.659,44,15.4014,en,0,0
1156593,Your Fault,2024,Drama|Romance,7.076,1542,17.9993,es,0,0
1357633,Solo Leveling -ReAwakening-,2024,Action|Adventure|Fantasy|Animation,7.161,271,18.1382,ja,0,6331827
573435,Bad Boys: Ride or Die,2024,Action|Comedy|Crime,7.327,3319,14.9243,en,100000000,404547819
1252309,Tell Me What You Want,2024,Romance|Drama,6.144,288,14.841,es,0,2265661
843527,The Idea of You,2024,Music|Comedy|Romance|Drama,7.292,1941,16.5014,en,0,36178
823219,Flow,2024,Adventure|Animation|Family|Fantasy,8.088,2802,17.3912,lv,3700000,17660107
359410,Road House,2024,Action|Thriller|Drama,6.94,3018,15.4293,en,85000000,0
