id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
460465,Mortal Kombat,2021,Action|Fantasy|Adventure,7.026,6555,163.0985,en,20000000,84426031
744275,After We Fell,2021,Drama|Romance,7.002,2733,44.0864,en,14000000,21753705
634649,Spider-Man: No Way Home,2021,Action|Adventure|Science Fiction,7.934,21949,32.3475,en,200000000,0
438631,Dune,2021,Science Fiction|Adventure,7.781,14849,25.2824,en,165000000,410668500
637649,Wrath of Man,2021,Thriller|Crime|Drama,7.574,6073,19.2881,en,40000000,103966489
337404,Cruella,2021,Comedy|Crime,7.971,10042,18.0631,en,200000000,233503234
801335,Girl in the Basement,2021,Thriller|Crime|TV Movie,7.6,853,15.739,en,0,0
436969,The Suicide Squad,2021,Action|Comedy|Adventure,7.461,9561,16.2519,en,185000000,168717425
615457,Nobody,2021,Action|Thriller,7.879,8312,16.2099,en,16000000,57512470
791373,Zack Snyder's Justice League,2021,Action|Adventure|Fantasy,8.089,10793,13.3489,en,70000000,0
841755,Mortal Kombat Legends: Battle of the Realms,2021,Animation|Action|Fantasy,7.606,495,13.3613,en,0,0
566525,Shang-Chi and the Legend of the Ten Rings,2021,Action|Adventure|Fantasy,7.494,10358,13.6446,en,150000000,432243292
645710,The Voyeurs,2021,Thriller,6.5,1174,12.6124,en,0,0
568124,Encanto,2021,Animation|Comedy|Family|Fantasy,7.568,10183,12.8187,en,150000000,261292688
497698,Black Widow,2021,Action|Adventure|Science Fiction,7.168,11216,13.3765,en,200000000,379751131
588228,The Tomorrow War,2021,Action|Science Fiction|Adventure,7.474,4111,11.47,en,200000000,14400000
550988,Free Guy,2021,Comedy|Adventure|Science Fiction,7.45,9786,12.1761,en,110000000,331526598
676845,Come Play With Me,2021,Horror,6.837,169,9.7744,es,0,1753826
399566,Godzilla vs. Kong,2021,Action|Science Fiction|Adventure,7.536,10612,10.8283,en,200000000,470116094
773543,Fib the Truth,2021,Drama|Thriller,5.772,90,13.3674,ru,0,0
