id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
318256,Hot Girls Wanted,2015,Documentary,6.096,722,67.092,en,0,0
214756,Ted 2,2015,Comedy|Fantasy,6.319,7968,25.8745,en,68000000,215863606
216015,Fifty Shades of Grey,2015,Drama|Romance|Thriller,5.87,12365,21.4984,en,40000000,569651467
150540,Inside Out,2015,Animation|Family|Adventure|Drama|Comedy,7.91,23421,22.8751,en,175000000,857611174
338803,The Treacherous,2015,Drama|History|Crime,6.104,91,17.8565,ko,0,6906250
76341,Mad Max: Fury Road,2015,Action|Adventure|Science Fiction,7.633,24033,17.3365,en,150000000,378858340
99861,Avengers: Age of Ultron,2015,Action|Adventure|Science Fiction,7.271,24385,18.8052,en,235000000,1405403694
286217,The Martian,2015,Science Fiction|Drama|Adventure,7.697,21170,16.6194,en,108000000,631058917
168259,Furious 7,2015,Action|Crime|Thriller,7.216,11264,15.6771,en,190000000,1515400000
292431,Love,2015,Drama|Romance,6.5,2656,14.7326,fr,3000000,249083
385125,Like Cattle Towards Glow,2015,Drama|Science Fiction,5.5,22,11.9431,en,0,0
273477,Scouts Guide to the Zombie Apocalypse,2015,Comedy|Horror,6.571,2123,13.4753,en,15000000,14900000
198184,Chappie,2015,Crime|Action|Science Fiction,6.791,8464,13.2456,en,49000000,104399548
150689,Cinderella,2015,Romance|Fantasy|Family|Drama,6.824,7386,11.2636,en,95000000,543514353
257211,The Intern,2015,Comedy,7.229,7315,13.0647,en,35000000,194564672
273481,Sicario,2015,Action|Crime|Thriller,7.419,9535,11.8431,en,30000000,84997446
140607,Star Wars: The Force Awakens,2015,Adventure|Action|Science Fiction,7.249,20510,12.0811,en,245000000,2068223624
257344,Pixels,2015,Action|Comedy|Science Fiction,5.776,8026,11.3191,en,88000000,244874809
135397,Jurassic World,2015,Adventure|Science Fiction,6.7,21544,12.0831,en,150000000,1671537444
281957,The Revenant,2015,Western|Drama|Adventure,7.541,19278,11.5126,en,135000000,532950503
483685,Tokyo Ghoul: Jack,2015,Horror|Action|Animation|Drama,7.62,96,10.6121,ja,0,0
87101,Terminator Genisys,2015,Science Fiction|Action|Thriller,5.952,8953,12.1126,en,155000000,440603537
