id,title,release_year,genres,vote_average,vote_count,popularity,original_language,budget,revenue
496243,Parasite,2019,Comedy|Thriller|Drama,8.494,20600,38.0606,ko,11363000,257591776
299534,Avengers: Endgame,2019,Adventure|Science Fiction|Action,8.235,27696,33.6724,en,356000000,2799439100
567609,Ready or Not,2019,Horror|Comedy,7.064,5420,27.2248,en,6000000,57615777
429617,Spider-Man: Far From Home,2019,Action|Adventure|Science Fiction,7.397,16922,23.1674,en,160000000,1132723226
475557,Joker,2019,Crime|Thriller|Drama,8.125,27679,18.1262,en,55000000,1078958629
301528,Toy Story 4,2019,Family|Comedy|Animation|Adventure,7.466,10494,14.9123,en,175000000,1073841394
546554,Knives Out,2019,Comedy|Crime|Mystery,7.84,13987,14.1179,en,40000000,312897920
458156,John Wick: Chapter 3 - Parabellum,2019,Action|Thriller|Crime,7.437,11699,13.3105,en,55000000,328349908
466272,Once Upon a Time... in Hollywood,2019,Comedy|Drama|Thriller,7.422,14811,14.1352,en,95000000,392105159
373571,Godzilla: King of the Monsters,2019,Science Fiction|Action,6.691,6693,11.6944,en,170000000,387300138
537915,After,2019,Drama|Romance,7.107,8516,14.3811,en,14000000,69497587
519465,Queen of Hearts,2019,Drama,6.9,376,12.9797,da,19000000,0
530915,1917,2019,War|History|Drama,7.987,13511,11.5333,en,100000000,446064352
530385,Midsommar,2019,Horror|Drama|Mystery,7.2,8043,14.2597,en,9000000,48498408
181812,Star Wars: The Rise of Skywalker,2019,Adventure|Action|Science Fiction,6.271,10816,13.2682,en,489900000,1074144248
623983,Michael Jackson: Chase the Truth,2019,Documentary,7.038,26,11.4096,en,0,0
384018,Fast & Furious Presents: Hobbs & Shaw,2019,Action|Adventure|Comedy,6.831,7740,11.7879,en,200000000,760098996
399579,Alita: Battle Angel,2019,Action|Science Fiction|Adventure,7.251,9977,11.7062,en,170000000,405000000
330457,Frozen II,2019,Family|Animation|Adventure|Comedy|Fantasy,7.231,10266,11.3653,en,150000000,1453683476
420818,The Lion King,2019,Adventure|Drama|Family|Animation,7.098,10731,11.2636,en,260000000,1662020819
331482,Little Women,2019,Drama|Romance,7.853,6821,10.8386,en,40000000,332103783
299537,Captain Marvel,2019,Action|Adventure|Science Fiction,6.783,16720,11.3763,en,152000000,1131416446
359724,Ford v Ferrari,2019,Drama|Action|History,8.006,8954,10.8292,en,97600000,225508210
581528,The Gangster  the Cop  the Devil,2019,Action|Crime|Thriller,7.854,1456,10.0816,ko,6500000,25775371
412117,The Secret Life of Pets 2,2019,Family|Comedy|Adventure|Animation,6.947,3323,11.3807,en,80000000,429434163
615453,Ne Zha,2019,Animation|Fantasy|Adventure,7.895,856,11.794,zh,22000000,742718496
420817,Aladdin,2019,Adventure|Fantasy|Romance|Family,7.085,10596,10.3152,en,183000000,1054304000
483906,Polar,2019,Action|Crime|Drama,6.376,2483,9.3383,en,0,0
512200,Jumanji: The Next Level,2019,Adventure|Comedy|Fantasy,6.875,9340,9.0258,en,125000000,801693929
287947,Shazam!,2019,Action|Comedy|Fantasy,6.977,10179,8.4766,en,80000000,367799011
166428,How to Train Your Dragon: The Hidden World,2019,Animation|Family|Adventure,7.751,7081,8.6296,en,129000000,539987993
531428,Portrait of a Lady on Fire,2019,Drama|Romance,8.095,2918,8.4667,fr,5740000,9923127
637920,Miracle in Cell No. 7,2019,Drama,8.252,4548,8.5403,tr,0,28000000
484641,Anna,2019,Action|Adventure|Thriller,6.716,2986,8.6192,en,34000000,31626978
290859,Terminator: Dark Fate,2019,Science Fiction|Action|Adventure|Thriller,6.417,5649,9.3996,en,185000000,261119292
568160,Weathering with You,2019,Animation|Drama|Fantasy|Romance,7.977,2625,9.4356,ja,11100000,192729404
474350,It Chapter Two,2019,Horror|Thriller|Drama,6.837,9591,8.5043,en,79000000,473123154
620249,The Legend of Hei,2019,Animation|Fantasy|Action,8.301,462,7.9848,zh,0,48045728
423204,Angel Has Fallen,2019,Action|Thriller,6.6,3870,9.9956,en,40000000,146661977
398978,The Irishman,2019,Crime|Drama|History,7.576,7495,8.3755,en,159000000,968853
531309,Brightburn,2019,Horror|Science Fiction,6.15,3452,8.0555,en,6000000,33224654
420809,Maleficent: Mistress of Evil,2019,Family|Fantasy|Adventure,7.294,6475,8.5946,en,185000000,491730089
450465,Glass,2019,Thriller|Drama|Science Fiction,6.665,9063,7.9137,en,20000000,246999039
454640,The Angry Birds Movie 2,2019,Animation|Adventure|Comedy|Family,7.05,1877,8.0421,en,65000000,137792047
634336,Uncanny Annie,2019,Horror|Thriller|TV Movie,6.063,71,6.1497,en,0,0
522938,Rambo: Last Blood,2019,Action|Thriller|Drama,6.526,4202,7.6376,en,50000000,91500000
