id,title,release_year,genres,vote_average,vote_count,popularity,original_language
37165,The Truman Show,1998,Comedy|Drama,8.153,20246,18.8872,en
857,Saving Private Ryan,1998,War|Drama|History,8.226,17260,16.5439,en
10674,Mulan,1998,Animation|Family|Adventure,7.904,10431,15.1468,en
9487,A Bug's Life,1998,Adventure|Animation|Comedy|Family,6.979,9732,14.9185,en
2109,Rush Hour,1998,Action|Comedy|Crime,7.1,5668,13.201,en
73,American History X,1998,Drama,8.327,12589,12.3304,en
9820,The Parent Trap,1998,Comedy|Family|Romance,7.216,4525,11.945,en
10494,Perfect Blue,1998,Animation|Thriller,8.3,3198,11.0725,ja
115,The Big Lebowski,1998,Comedy|Crime,7.839,12192,8.3364,en
9837,The Prince of Egypt,1998,Adventure|Animation|Drama|Family,7.309,4309,9.851,en
36647,Blade,1998,Horror|Action,6.837,6712,11.0405,en
95,Armageddon,1998,Action|Science Fiction|Adventure,6.835,8587,9.0506,en
297,Meet Joe Black,1998,Fantasy|Drama|Romance,7.366,5766,8.6862,en
2671,Ring,1998,Horror|Thriller,7.083,1653,7.2728,ja
9732,The Lion King II: Simba's Pride,1998,Adventure|Animation|Drama|Family|Romance,6.939,4673,8.8945,en
67395,L.E.T.H.A.L. Ladies: Return to Savage Beach,1998,Action|Thriller,6.022,225,7.841,en
8656,Deep Impact,1998,Action|Drama|Science Fiction,6.237,3321,6.4998,en
123338,Sex and Zen III,1998,Comedy|Romance|Drama,6.183,30,6.6483,cn
929,Godzilla,1998,Science Fiction|Action|Thriller,5.651,4229,6.5755,en
9276,The Faculty,1998,Horror|Science Fiction,6.561,2249,7.9621,en
544,There's Something About Mary,1998,Romance|Comedy,6.631,5352,5.308,en
8697,Who Am I?,1998,Adventure|Action|Comedy|Thriller,7.13,990,5.9999,cn
64530,Chinese Erotic Ghost Story,1998,Fantasy,5.933,15,6.3297,cn
2330,Taxi,1998,Action|Comedy|Crime|Adventure,6.718,2711,4.7292,fr
2666,Dark City,1998,Mystery|Science Fiction,7.333,3203,6.4829,en
9631,The Negotiator,1998,Action|Crime|Drama|Thriller,7.11,2387,6.6078,en
9342,The Mask of Zorro,1998,Action|Adventure,6.583,4334,5.765,en
11932,Bride of Chucky,1998,Horror|Comedy,6.143,2114,5.4389,en
10220,Rounders,1998,Drama|Crime,7.019,1929,6.2098,en
10228,Pokémon: The First Movie,1998,Animation|Family|Adventure|Fantasy|Action,6.956,1578,6.1316,ja
9457,Deep Rising,1998,Adventure|Action|Horror|Science Fiction,6.174,816,5.364,en
944,Lethal Weapon 4,1998,Action|Crime|Thriller,6.611,2948,5.0646,en
33194,Xiu Xiu: The Sent-Down Girl,1998,Drama,7.24,50,5.3437,en
8916,Antz,1998,Animation|Comedy|Family,6.187,4739,5.3086,en
10376,The Legend of 1900,1998,Drama|Music,8.2,2449,5.285,it
9489,You've Got Mail,1998,Comedy|Romance,6.7,3642,4.6133,en
8741,The Thin Red Line,1998,Drama|History|War,7.442,3304,5.2231,en
795,City of Angels,1998,Romance|Drama|Fantasy,6.819,2354,5.1698,en
52683,In All Innocence,1998,Drama|Romance,5.875,32,4.5689,fr
617,Wild Things,1998,Mystery|Thriller|Drama,6.376,1979,6.1018,en
6435,Practical Magic,1998,Romance|Comedy|Fantasy,6.786,1713,5.1777,en
188813,The Untold Story 2,1998,Crime|Horror,5.648,27,5.1602,cn
6068,Six Days Seven Nights,1998,Comedy|Action|Adventure|Romance,6.115,1616,6.2116,en
431,Cube,1998,Thriller|Science Fiction|Mystery,6.8,5225,4.3434,en
11551,Small Soldiers,1998,Comedy|Adventure|Fantasy|Science Fiction|Action,6.558,2323,5.4345,en
14533,Gia,1998,Romance|Drama,7.105,833,5.5915,en
9313,The Man in the Iron Mask,1998,Adventure|Action|Drama,6.652,4128,5.3025,en
9798,Enemy of the State,1998,Action|Drama|Thriller,7.065,4253,4.177,en
10216,Species II,1998,Science Fiction|Action|Horror,5.186,810,4.0568,en
9411,Fallen,1998,Crime|Drama|Thriller,6.805,1596,5.0313,en
2657,Pleasantville,1998,Fantasy|Comedy|Drama,7.271,1877,4.3604,en
1965,A Perfect Murder,1998,Crime|Thriller|Drama,6.5,1567,3.9826,en
846,The X-Files,1998,Mystery|Science Fiction|Thriller,6.908,1802,3.8274,en
18881,Kite,1998,Animation|Action|Thriller,6.6,187,4.1351,ja
11808,U.S. Marshals,1998,Thriller|Crime|Action,6.543,1808,3.8198,en
9454,EverAfter,1998,Drama|Romance|Comedy,7.449,1576,4.5649,en
1878,Fear and Loathing in Las Vegas,1998,Adventure|Drama|Comedy,7.204,5032,4.5335,en
21452,Case Closed: The Fourteenth Target,1998,Animation|Crime|Mystery|Adventure,7.132,227,4.6411,ja
37636,High Art,1998,Drama|Romance,6.2,145,3.6073,en
11675,Halloween H20: 20 Years Later,1998,Horror|Thriller,6.051,1796,3.3753,en
9882,The Siege,1998,Drama|Action|Thriller|Crime,6.304,1495,3.4784,en
12159,What Dreams May Come,1998,Drama|Fantasy|Romance,7.224,2518,3.5846,en
1934,Shakespeare in Love,1998,Romance|History|Comedy,6.835,3212,3.7898,en
2137,The Storm Riders,1998,Fantasy|Action|Adventure|Drama,6.6,111,3.5705,zh
3050,Doctor Dolittle,1998,Comedy|Family|Fantasy,5.723,3289,4.3063,en
9425,Soldier,1998,Science Fiction|Action|Drama,6.415,949,3.1233,en
14577,Dirty Work,1998,Comedy,6.24,302,2.1332,en
547,The Horse Whisperer,1998,Adventure|Drama|Romance,6.896,1192,2.9589,en
10153,Sphere,1998,Science Fiction|Mystery|Thriller,6.131,1817,3.537,en
9410,Great Expectations,1998,Comedy|Drama|Romance,6.647,691,3.5557,en
9441,Stepmom,1998,Drama|Romance|Comedy,7.159,1543,3.3158,en
452,The Idiots,1998,Comedy|Drama,6.453,651,3.5639,da
14444,The Rugrats Movie,1998,Adventure|Animation|Comedy|Family,6.2,642,2.8684,en
4415,Les Misérables,1998,Crime|Drama|History|Romance,7.221,681,2.8012,en
3600,I Still Know What You Did Last Summer,1998,Horror|Mystery|Thriller,5.386,1731,3.7488,en
100,Lock  Stock and Two Smoking Barrels,1998,Comedy|Crime,8.096,7208,3.5479,en
10663,The Waterboy,1998,Comedy,6.056,2026,4.8893,en
2157,Lost in Space,1998,Science Fiction|Adventure,5.449,1318,3.2689,en
8195,Ronin,1998,Action|Thriller|Crime,6.967,2676,3.4864,en
1137047,West Sex Journey 2,1998,Romance,5.6,17,3.4415,zh
11252,Psycho,1998,Horror|Mystery|Thriller,5.143,1045,3.4335,en
31473,An American Tail: The Treasure of Manhattan Island,1998,Family|Animation|Adventure,6.3,190,2.2034,en
10312,Patch Adams,1998,Comedy|Drama,7.311,3445,3.1891,en
12538,Senseless,1998,Comedy|Romance|Science Fiction,6.2,401,2.8841,en
9877,Urban Legend,1998,Horror|Mystery,5.737,1466,2.9083,en
8838,Mercury Rising,1998,Action|Crime|Drama|Thriller,6.3,1667,3.9018,en
11003,The Wedding Singer,1998,Romance|Comedy,6.775,1921,3.0306,en
9429,A Night at the Roxbury,1998,Comedy|Romance,6.531,1005,3.1377,en
36568,Paulie,1998,Drama|Comedy|Family|Adventure,6.97,534,2.8738,en
10683,Happiness,1998,Comedy|Drama,7.432,937,2.6479,en
10616,Contract Killer,1998,Action|Comedy|Thriller,7.1,261,3.3373,cn
8675,Orgazmo,1998,Comedy,6.117,480,2.823,en
105444,Doraemon: Nobita's Great Adventure in the South Seas,1998,Animation|Family|Adventure|Comedy|Fantasy|Science Fiction,6.531,65,2.9479,ja
