id,title,release_year,genres,vote_average,vote_count,popularity,original_language
405746,Door,1988,Horror|Mystery|Thriller,6.0,26,28.3215,ja
13192,Moonwalker,1988,Fantasy|Music,7.076,655,27.2783,en
8392,My Neighbor Totoro,1988,Fantasy|Animation|Family,8.063,8819,12.1657,ja
11216,Cinema Paradiso,1988,Drama|Romance,8.427,4833,11.3715,it
562,Die Hard,1988,Action|Thriller,7.812,12302,10.6857,en
859,Dangerous Liaisons,1988,Drama|Romance,7.194,1272,9.5654,en
149,Akira,1988,Animation|Science Fiction|Action,7.943,4782,8.4774,ja
11690,Bloodsport,1988,Action|Thriller|Drama,7.047,2163,9.0847,en
4011,Beetlejuice,1988,Fantasy|Comedy,7.4,8451,6.7517,en
112929,School on Fire,1988,Drama|Crime|Thriller,7.3,32,8.5208,cn
37136,The Naked Gun: From the Files of Police Squad!,1988,Comedy|Crime,7.3,4503,8.0867,en
10585,Child's Play,1988,Horror,6.75,3346,6.5395,en
8337,They Live,1988,Science Fiction|Action|Thriller,7.298,3473,6.2638,en
1370,Rambo III,1988,Action|Adventure|Thriller|War,6.204,3480,6.3252,en
380,Rain Man,1988,Drama,7.753,7103,5.8889,en
9602,Coming to America,1988,Comedy|Romance,6.882,4748,6.1097,en
856,Who Framed Roger Rabbit,1988,Fantasy|Animation|Comedy|Crime,7.54,6183,6.3479,en
32292,Guinea Pig: Mermaid in the Manhole,1988,Horror|Romance,5.4,69,4.5715,ja
290006,Priceless Beauty,1988,Fantasy|Drama|Romance,3.167,12,4.5292,en
847,Willow,1988,Fantasy|Adventure|Action,7.007,2161,5.0659,en
9493,Twins,1988,Comedy,6.045,2514,4.5982,en
1632,Mississippi Burning,1988,Drama|Crime|Mystery|Thriller,7.678,1938,4.7988,en
175,The Big Blue,1988,Romance|Adventure|Drama,7.5,1568,3.8522,fr
9599,The Blob,1988,Horror|Science Fiction|Action,6.8,1039,3.7885,en
2280,Big,1988,Fantasy|Drama|Comedy,7.185,4039,3.9442,en
12233,Oliver & Company,1988,Animation|Comedy|Family,6.736,1702,4.209,en
12144,The Land Before Time,1988,Family|Animation|Adventure,7.15,2748,3.9252,en
11357,Halloween 4: The Return of Michael Myers,1988,Horror|Thriller,6.173,2062,4.1705,en
42006,Red Sorghum,1988,Drama|Romance|History,7.146,243,4.3599,zh
16157,Mobile Suit Gundam: Char's Counterattack,1988,Animation|Action|Science Fiction,7.224,76,2.7299,ja
327317,Summer Temptations,1988,Drama,5.5,28,4.0396,it
623,A Fish Called Wanda,1988,Comedy|Crime,7.209,2425,3.518,en
9604,Red Heat,1988,Action|Crime,6.2,1608,3.5223,en
9395,Above the Law,1988,Action|Crime|Drama|Mystery|Thriller,6.142,798,3.7211,en
67345,Mr Vampire Saga 4,1988,Horror|Comedy,6.658,38,3.2551,cn
12120,My Stepmother Is an Alien,1988,Comedy|Science Fiction,5.8,587,3.3451,en
9647,Scrooged,1988,Fantasy|Comedy|Drama,6.787,1698,2.7418,en
3525,Working Girl,1988,Comedy|Romance,6.604,1057,3.3391,en
16296,Killer Klowns from Outer Space,1988,Comedy|Horror|Science Fiction,6.627,1163,2.9297,en
