id,title,release_year,genres,vote_average,vote_count,popularity,original_language
48650,Room in Rome,2010,Drama|Romance,6.4,828,53.5622,es
27205,Inception,2010,Action|Science Fiction|Adventure,8.372,39322,33.6119,en
10138,Iron Man 2,2010,Adventure|Action|Science Fiction,6.854,22402,29.0093,en
43947,I Spit on Your Grave,2010,Thriller|Crime|Horror,6.509,2571,23.1071,en
12444,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure|Fantasy,7.7,20389,20.9345,en
10193,Toy Story 3,2010,Animation|Family|Comedy,7.806,15734,21.1686,en
63319,Belle épine,2010,Drama,5.4,56,20.421,fr
38365,Grown Ups,2010,Comedy,6.417,6687,19.3567,en
38757,Tangled,2010,Animation|Family|Adventure,7.613,12405,16.3057,en
20352,Despicable Me,2010,Animation|Comedy|Crime|Family|Science Fiction,7.258,16059,17.5698,en
11324,Shutter Island,2010,Drama|Thriller|Mystery,8.199,25861,15.3218,en
73861,A Serbian Film,2010,Crime|Horror|Thriller,5.4,2213,15.7596,sr
61979,Three Steps Above Heaven,2010,Romance|Drama,7.724,3226,15.6519,es
43949,Flipped,2010,Romance|Drama,8.0,3326,14.6306,en
12155,Alice in Wonderland,2010,Family|Fantasy|Adventure,6.642,14812,14.2252,en
10191,How to Train Your Dragon,2010,Fantasy|Adventure|Animation|Family,7.9,14371,10.91,en
49797,I Saw the Devil,2010,Thriller|Horror,7.801,3023,11.7195,ko
37799,The Social Network,2010,Drama,7.374,13171,10.0637,en
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,Adventure|Fantasy|Family,6.213,7821,10.523,en
43347,Love & Other Drugs,2010,Drama|Comedy|Romance,7.044,5614,9.9824,en
38575,The Karate Kid,2010,Action|Adventure|Drama|Family,6.6,6561,10.9305,en
38055,Megamind,2010,Animation|Action|Comedy|Family|Science Fiction,7.027,7468,9.9716,en
50727,The Servant,2010,Romance|Drama|Comedy,5.671,41,8.9466,ko
27578,The Expendables,2010,Thriller|Adventure|Action,6.251,8293,10.103,en
10192,Shrek Forever After,2010,Comedy|Adventure|Fantasy|Animation|Family,6.4,7953,9.2103,en
12201,Edge of Darkness,2010,Crime|Drama|Mystery|Thriller,6.422,1730,10.3573,en
24021,The Twilight Saga: Eclipse,2010,Adventure|Fantasy|Drama|Romance,6.193,9257,9.5882,en
26389,From Paris with Love,2010,Action|Crime|Thriller,6.401,2334,8.521,en
23483,Kick-Ass,2010,Action|Crime,7.1,12385,8.1297,en
44214,Black Swan,2010,Drama|Thriller|Horror,7.7,15567,7.6778,en
