id,title,release_year,genres,vote_average,vote_count,popularity,original_language
39254,Real Steel,2011,Action|Science Fiction|Drama,7.098,9180,79.7612,en
78192,Michael Jackson: The Life of an Icon,2011,Documentary|Music,8.137,182,53.1064,en
77338,The Intouchables,2011,Drama|Comedy,8.271,18442,21.1095,fr
12445,Harry Potter and the Deathly Hallows: Part 2,2011,Adventure|Fantasy,8.08,21995,21.4107,en
1865,Pirates of the Caribbean: On Stranger Tides,2011,Adventure|Action|Fantasy,6.57,14963,16.9616,en
63964,Deiva Thirumagal,2011,Drama|Family,7.3,31,14.7631,ta
50619,The Twilight Saga: Breaking Dawn - Part 1,2011,Adventure|Fantasy|Romance,6.189,9273,16.4284,en
44896,Rango,2011,Animation|Comedy|Family|Western|Adventure,6.9,7111,15.5726,en
49013,Cars 2,2011,Animation|Family|Adventure|Comedy,6.181,8476,13.9279,en
414419,Kill Bill: The Whole Bloody Affair,2011,Action|Crime,8.092,1295,13.2594,en
10195,Thor,2011,Adventure|Fantasy|Action,6.8,22356,13.6531,en
41630,No Strings Attached,2011,Comedy|Romance,6.296,4993,11.7493,en
114168,Perras,2011,Thriller|Drama|Romance,7.265,310,12.693,es
49018,Insidious,2011,Horror|Thriller,6.941,7329,11.3845,en
49530,In Time,2011,Action|Thriller|Science Fiction,6.971,12167,10.1464,en
46195,Rio,2011,Animation|Adventure|Comedy|Family,6.8,7176,10.5137,en
49444,Kung Fu Panda 2,2011,Animation|Family|Comedy|Action,7.066,7888,10.5092,en
74997,The Human Centipede 2 (Full Sequence),2011,Drama|Horror|Crime,4.768,1448,10.8663,en
50014,The Help,2011,Drama,8.202,9054,9.8785,en
86331,Desire,2011,Drama|Romance,6.282,1365,10.0444,fr
71672,Wrong Turn 4: Bloody Beginnings,2011,Horror|Thriller,5.744,1217,9.9851,en
45243,The Hangover Part II,2011,Comedy,6.507,11284,9.197,en
85877,The 33D Invader,2011,Comedy|Science Fiction,5.7,32,9.9454,cn
1771,Captain America: The First Avenger,2011,Action|Adventure|Science Fiction,7.007,22744,9.6799,en
50546,Just Go with It,2011,Comedy|Romance,6.708,6122,9.3004,en
38321,Priest,2011,Action|Fantasy|Horror,5.876,2529,9.0497,en
41446,Scream 4,2011,Horror|Mystery,6.486,4182,9.0193,en
64690,Drive,2011,Drama|Thriller|Crime,7.584,13644,8.4688,en
50646,Crazy  Stupid  Love.,2011,Comedy|Drama|Romance,7.272,9293,9.6002,en
61791,Rise of the Planet of the Apes,2011,Thriller|Action|Drama|Science Fiction,7.343,12753,9.03,en
56292,Mission: Impossible - Ghost Protocol,2011,Action|Thriller|Adventure,7.114,10775,8.5326,en
71676,Ghost Rider: Spirit of Vengeance,2011,Action|Fantasy|Thriller,5.019,4071,8.5784,en
63311,The Skin I Live In,2011,Drama|Horror|Mystery|Thriller,7.487,4630,8.1142,es
76025,Shame,2011,Drama,6.928,3412,8.338,en
51876,Limitless,2011,Thriller|Mystery|Science Fiction,7.201,11488,8.1532,en
59440,Warrior,2011,Drama|Action,7.8,5023,6.5978,en
17578,The Adventures of Tintin,2011,Adventure|Animation|Mystery,6.922,5815,6.8403,en
65754,The Girl with the Dragon Tattoo,2011,Thriller|Crime|Mystery,7.4,7614,6.5267,en
55779,Final Destination 5,2011,Horror|Mystery,6.156,4091,6.7249,en
47327,Drive Angry,2011,Fantasy|Thriller|Action|Crime,5.539,2039,6.9474,en
