id,title,release_year,genres,vote_average,vote_count,popularity,original_language
350,The Devil Wears Prada,2006,Drama|Comedy,7.43,13662,106.4381,en
1579,Apocalypto,2006,Action|Drama|History,7.631,6378,46.0604,en
58,Pirates of the Caribbean: Dead Man's Chest,2006,Adventure|Fantasy|Action,7.4,17183,23.5719,en
4257,Scary Movie 4,2006,Comedy,5.487,3593,26.5994,en
1402,The Pursuit of Happyness,2006,Drama,7.886,10601,20.4606,en
950,Ice Age: The Meltdown,2006,Animation|Family|Comedy|Adventure,6.719,10344,13.4859,en
1417,Pan's Labyrinth,2006,Fantasy|Drama|War,7.764,11469,12.6435,es
920,Cars,2006,Animation|Adventure|Comedy|Family,7.031,15121,14.0553,en
36557,Casino Royale,2006,Adventure|Action|Thriller,7.57,11693,14.112,en
1422,The Departed,2006,Drama|Thriller|Crime,8.16,16220,13.2994,en
1124,The Prestige,2006,Drama|Mystery|Science Fiction,8.2,17603,12.4541,en
9655,She's the Man,2006,Comedy|Romance,6.817,3288,10.4175,en
9072,Little Man,2006,Comedy|Crime,5.955,1905,10.819,en
9792,The Hills Have Eyes,2006,Horror|Thriller,6.467,3346,10.6086,en
1948,Crank,2006,Action|Thriller|Crime,6.66,4217,9.7487,en
9693,Children of Men,2006,Science Fiction|Thriller|Action,7.613,7856,7.6133,en
752,V for Vendetta,2006,Action|Thriller|Science Fiction,7.9,15569,8.173,en
591,The Da Vinci Code,2006,Thriller|Mystery,6.726,10068,8.5086,en
7512,Idiocracy,2006,Comedy|Science Fiction|Adventure,6.375,3557,8.1867,en
1593,Night at the Museum,2006,Fantasy|Family|Comedy,6.6,10962,8.0452,en
11619,Flushed Away,2006,Adventure|Animation|Comedy|Family,6.327,4096,9.0691,en
7518,Over the Hedge,2006,Adventure|Animation|Comedy|Family,6.597,4848,7.2586,en
1372,Blood Diamond,2006,Drama|Thriller|Action,7.561,8335,7.3441,en
8275,American Pie Presents: The Naked Mile,2006,Comedy,5.485,2196,7.7417,en
588,Silent Hill,2006,Horror|Mystery,6.631,4891,7.1511,en
956,Mission: Impossible III,2006,Adventure|Action|Thriller,6.765,7622,7.0844,en
4977,Paprika,2006,Animation|Science Fiction|Thriller,7.813,2866,5.8212,ja
9286,Final Destination 3,2006,Horror|Mystery,6.153,4571,6.7084,en
1427,Perfume: The Story of a Murderer,2006,Crime|Fantasy|Drama,7.363,5012,8.2449,en
1378,Shortbus,2006,Romance|Drama|Comedy,6.264,586,6.4584,en
9353,Nacho Libre,2006,Comedy|Action|Family,6.5,1855,6.7666,en
33142,Vivah,2006,Romance|Drama,6.66,94,6.1152,hi
9297,Monster House,2006,Animation|Comedy|Family|Fantasy,6.7,4328,6.3518,en
14784,The Fall,2006,Adventure|Fantasy|Drama,7.628,1542,6.2387,en
1581,The Holiday,2006,Comedy|Romance,7.101,5637,5.7176,en
1246,Rocky Balboa,2006,Drama,6.9,3800,5.8666,en
1440,Little Children,2006,Drama|Romance,7.077,1151,6.2629,en
9339,Click,2006,Comedy|Drama|Fantasy,6.306,7565,6.2413,en
1452,Superman Returns,2006,Science Fiction|Action|Adventure,5.816,4569,5.7926,en
388,Inside Man,2006,Crime|Drama|Thriller,7.405,6362,5.5548,en
