id,title,release_year,genres,vote_average,vote_count,popularity,original_language
603,The Matrix,1999,Action|Science Fiction,8.247,27964,109.0505,en
550,Fight Club,1999,Drama|Thriller,8.438,32103,28.692,en
796,Cruel Intentions,1999,Drama|Romance,6.816,3580,28.9442,en
497,The Green Mile,1999,Fantasy|Drama|Crime,8.507,19296,28.0257,en
863,Toy Story 2,1999,Animation|Comedy|Family,7.608,14902,23.3224,en
564,The Mummy,1999,Adventure|Action|Fantasy,6.978,10036,21.9118,en
2105,American Pie,1999,Comedy|Romance,6.607,8318,16.6573,en
1893,Star Wars: Episode I - The Phantom Menace,1999,Adventure|Action|Science Fiction,6.578,15852,13.7371,en
4951,10 Things I Hate About You,1999,Comedy|Romance|Drama,7.6,8923,13.6589,en
345,Eyes Wide Shut,1999,Drama|Thriller|Mystery,7.486,7043,13.5959,en
745,The Sixth Sense,1999,Mystery|Thriller|Drama,7.952,12873,10.3943,en
14,American Beauty,1999,Drama,8.0,13054,10.0087,en
37135,Tarzan,1999,Animation|Family|Adventure,7.4,7339,9.2044,en
509,Notting Hill,1999,Romance|Comedy,7.27,6723,8.549,en
3558,Girl  Interrupted,1999,Drama,7.6,4155,7.6114,en
2668,Sleepy Hollow,1999,Fantasy|Thriller|Mystery|Horror,7.191,7372,7.496,en
197998,Minazuki,1999,Drama,5.769,13,7.0205,ja
334,Magnolia,1999,Drama,7.728,4009,6.488,en
129123,Erotic Nightmare,1999,Horror,5.1,17,5.9645,cn
2667,The Blair Witch Project,1999,Horror|Mystery,6.368,5441,5.8006,en
35044,Full Body Massage,1999,Drama|TV Movie,5.283,53,6.4974,en
622,The Ninth Gate,1999,Mystery|Thriller|Horror,6.49,3354,5.8587,en
45871,The Mission,1999,Action|Crime|Drama,7.517,179,4.5644,cn
22512,Sex  Shame & Tears,1999,Comedy|Drama|Romance,6.584,149,5.1938,es
10386,The Iron Giant,1999,Animation|Drama|Family|Science Fiction,8.0,6174,5.316,en
8487,Wild Wild West,1999,Action|Adventure|Comedy|Science Fiction|Western,5.324,3587,5.7706,en
11622,Blast from the Past,1999,Drama|Romance|Comedy,6.774,1222,4.872,en
11001,Blue Streak,1999,Action|Comedy|Crime,6.509,1635,4.498,en
27154,Happy End,1999,Drama|Romance,6.615,78,3.8996,ko
53168,King of Comedy,1999,Comedy|Drama|Romance,7.4,210,4.2906,cn
10398,Double Jeopardy,1999,Thriller|Crime|Mystery,6.63,1487,5.0655,en
2112,Payback,1999,Action|Drama|Crime|Thriller,6.824,2008,5.5194,en
1832,Dogma,1999,Fantasy|Comedy|Adventure,6.933,2855,4.1409,en
817,Austin Powers: The Spy Who Shagged Me,1999,Comedy|Adventure|Crime,6.309,3675,4.7007,en
8914,Deep Blue Sea,1999,Action|Horror|Science Fiction,5.997,2655,4.4283,en
332,Inspector Gadget,1999,Action|Adventure|Comedy|Family,4.513,1320,4.4551,en
10314,She's All That,1999,Comedy|Romance,6.324,2248,4.4357,en
10137,Stuart Little,1999,Family|Fantasy|Comedy|Adventure,6.1,4652,4.2599,en
8224,8MM,1999,Thriller|Crime|Mystery,6.491,2277,6.2003,en
926,Galaxy Quest,1999,Comedy|Science Fiction|Adventure,7.083,2520,5.6,en
12599,Pokémon the Movie 2000,1999,Adventure|Fantasy|Animation|Science Fiction|Family,6.742,936,4.2954,ja
9946,End of Days,1999,Action|Horror|Fantasy,6.1,2056,5.0566,en
1911,The 13th Warrior,1999,Adventure|History|Action,6.683,2047,4.8233,en
9473,South Park: Bigger  Longer & Uncut,1999,Animation|Comedy,7.282,2949,3.726,en
1213,The Talented Mr. Ripley,1999,Thriller|Crime|Drama,7.195,4150,4.7631,en
1542,Office Space,1999,Comedy,7.376,3393,4.866,en
9032,Big Daddy,1999,Comedy|Drama,6.495,3550,3.9114,en
18892,Jawbreaker,1999,Comedy|Crime|Thriller,6.4,586,4.3932,en
36643,The World Is Not Enough,1999,Adventure|Action|Thriller,6.288,3266,5.0483,en
50804,The Secret Path,1999,Drama|TV Movie,7.458,24,3.9339,en
1844,Entrapment,1999,Romance|Drama|Mystery,6.237,2230,4.7284,en
6522,Life,1999,Comedy|Crime,6.66,868,5.0819,en
2277,Bicentennial Man,1999,Drama|Romance|Science Fiction,7.271,3920,5.3381,en
9481,The Bone Collector,1999,Crime|Thriller|Drama|Mystery,6.804,3882,3.9527,en
62883,Hum Saath Saath Hain,1999,Romance|Family|Drama,6.068,95,3.6365,hi
11618,The Haunting,1999,Horror|Thriller|Fantasy|Mystery,5.5,1530,3.0602,en
14709,Varsity Blues,1999,Comedy|Drama|Romance,6.139,465,4.9234,en
2463,Running Out of Time,1999,Drama|Action|Thriller|Crime,7.34,172,3.3952,cn
28808,Detective Conan: The Last Wizard of the Century,1999,Adventure|Animation|Crime|Drama|Mystery,7.308,198,4.0471,ja
492,Being John Malkovich,1999,Comedy|Drama|Fantasy,7.418,4800,3.653,en
10402,Deuce Bigalow: Male Gigolo,1999,Comedy|Romance,5.979,1541,3.5632,en
221912,Raped by an Angel 4: The Rapist's Union,1999,Crime|Comedy|Horror|Thriller,6.143,21,2.9144,cn
4806,Runaway Bride,1999,Comedy|Romance,6.111,2169,3.5896,en
261427,A Wicked Ghost,1999,Horror,5.278,18,2.2971,cn
6415,Three Kings,1999,Action|Comedy|War,6.646,2299,3.614,en
8374,The Boondock Saints,1999,Action|Thriller|Crime,7.253,2695,3.6419,en
61930,Bagnomaria,1999,Comedy,5.866,116,3.8575,it
1715,The Cider House Rules,1999,Drama,7.092,1293,3.3369,en
1073,Arlington Road,1999,Crime|Drama|Thriller|Mystery,7.035,1249,3.1837,en
9563,Any Given Sunday,1999,Drama,6.828,1828,3.2312,en
9008,The Insider,1999,Drama|Thriller,7.5,2072,2.9266,en
10047,The Messenger: The Story of Joan of Arc,1999,Adventure|Drama|Action|History|War,6.4,1596,3.258,en
10908,Inferno,1999,Action|Drama|Romance,6.152,352,3.2267,en
19738,Revolutionary Girl Utena: The Movie,1999,Animation|Drama|Fantasy|Romance,7.4,87,2.7702,ja
9825,Lake Placid,1999,Horror|Comedy|Action|Science Fiction|Thriller,5.939,1251,4.2724,en
10951,Gorgeous,1999,Adventure|Action|Comedy|Romance,6.4,417,3.1533,cn
913,The Thomas Crown Affair,1999,Drama|Crime|Romance,6.752,1353,3.0692,en
10307,Stigmata,1999,Horror|Thriller,6.295,1239,4.0102,en
1090,The Thirteenth Floor,1999,Thriller|Science Fiction|Mystery,7.067,1531,3.6506,en
9535,Analyze This,1999,Comedy|Crime,6.515,2136,3.614,en
9824,Mystery Men,1999,Adventure|Fantasy|Action|Comedy|Science Fiction,5.8,917,3.9324,en
9451,Election,1999,Comedy|Drama,6.9,1191,2.4962,en
10400,The Hurricane,1999,Drama,7.439,1530,3.9249,en
16198,My Neighbors the Yamadas,1999,Animation|Comedy|Family,7.0,608,3.4888,ja
4291,Kikujiro,1999,Comedy|Drama,7.512,601,2.5776,ja
26338,Romance,1999,Drama|Romance,5.446,304,2.6753,fr
9564,Asterix and Obelix Take On Caesar,1999,Family|Adventure|Comedy|Fantasy,6.0,2048,3.226,fr
49199,The Legend of Speed,1999,Action,6.433,15,2.097,cn
10210,A Midsummer Night's Dream,1999,Fantasy|Comedy|Romance,6.4,411,2.5638,en
6552,Idle Hands,1999,Comedy|Horror|Fantasy|Romance,6.197,744,2.7353,en
8649,Bringing Out the Dead,1999,Drama,6.608,1234,2.7749,en
404,The Straight Story,1999,Drama,7.741,1797,2.7375,en
35717,Pola X,1999,Drama|Romance,5.46,100,3.4586,fr
86003,Girl Hell,1999,Horror,5.636,22,2.7998,ja
1946,eXistenZ,1999,Action|Thriller|Science Fiction,6.8,2174,2.4085,en
13466,October Sky,1999,Drama|History,7.672,1430,2.989,en
69733,The Man-Eater,1999,Comedy,5.048,42,2.4262,it
823,Jin-Roh: The Wolf Brigade,1999,Animation|Thriller|Science Fiction,7.4,559,2.5724,ja
17771,Sunshine,1999,Drama|History|Romance|War,6.441,152,3.3983,en
4816,Ghost Dog: The Way of the Samurai,1999,Crime|Drama,7.34,1402,3.0653,en
16331,The Jack Bull,1999,Western|TV Movie,6.405,100,1.6051,en
9669,Ring 2,1999,Horror|Mystery|Science Fiction,5.802,462,3.507,ja
11377,House on Haunted Hill,1999,Horror,5.6,958,2.4878,en
46435,Topsy-Turvy,1999,Drama|Music|Comedy|History,6.6,166,2.327,en
9430,Go,1999,Crime|Comedy|Thriller,7.0,815,2.235,en
10643,Godzilla 2000: Millennium,1999,Action|Adventure|Science Fiction,6.9,307,2.0205,ja
1850,Man on the Moon,1999,Comedy|Drama|History,7.2,1986,2.4102,en
10207,Message in a Bottle,1999,Romance|Drama,6.268,830,2.5176,en
16406,Dick,1999,Comedy|Adventure,5.96,298,2.8434,en
11601,Stir of Echoes,1999,Horror|Mystery|Thriller,6.685,1342,2.4356,en
30943,The Deep End of the Ocean,1999,Drama|Mystery,6.6,539,2.7174,en
2275,The General's Daughter,1999,Thriller|Mystery|Crime,6.4,1031,2.2765,en
226,Boys Don't Cry,1999,Crime|Drama,7.413,1467,2.2805,en
12117,Instinct,1999,Drama|Thriller,6.492,653,2.0858,en
108954,Postmen in the Mountains,1999,Drama,7.6,58,1.7819,zh
45712,Gloria,1999,Drama|Crime|Thriller,5.781,130,1.7059,en
10366,Universal Soldier: The Return,1999,Action|Science Fiction,5.897,1342,2.3055,en
12596,Pushing Tin,1999,Comedy|Drama,5.876,436,3.2405,en
2900,The Astronaut's Wife,1999,Drama|Science Fiction|Thriller,5.604,986,2.2186,en
12524,Titus,1999,Drama|History,6.431,289,2.4454,en
99,All About My Mother,1999,Comedy|Drama,7.617,2071,2.1574,es
11355,Never Been Kissed,1999,Romance|Comedy|Drama,6.165,1581,2.3927,en
12594,Wishmaster 2: Evil Never Dies,1999,Fantasy|Horror,5.685,324,2.0874,en
2331,Jesus,1999,Adventure|Drama|TV Movie,6.854,82,3.0395,en
128878,Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle,1999,Animation|Action|Comedy,6.524,21,2.7263,ja
10212,Ravenous,1999,Adventure|Western|Horror|Comedy|Drama,6.844,690,2.0171,en
39001,My Teacher's Wife,1999,Comedy|Romance,5.125,44,2.1544,en
88517,Secret,1999,Drama|Fantasy,6.9,34,1.8834,ja
2020,The Bachelor,1999,Comedy|Romance,5.152,328,2.149,en
42739,The War Zone,1999,Drama,6.8,195,1.9963,en
10490,Drop Dead Gorgeous,1999,Comedy,6.454,436,1.8866,en
10279,Summer of Sam,1999,Crime|Drama|Thriller,6.486,531,1.8616,en
12095,From Dusk Till Dawn 2: Texas Blood Money,1999,Crime|Action|Horror|Thriller,4.6,519,2.1296,en
9455,The Corruptor,1999,Action|Crime|Thriller|Drama,6.065,310,2.3386,en
20617,Taboo,1999,Drama|History|Thriller,6.584,125,1.8986,ja
23613,G-Saviour,1999,Action|Science Fiction|TV Movie,4.8,17,1.5178,en
12618,Random Hearts,1999,Drama|Romance|Thriller,5.584,422,1.9598,en
132030,The Green Elephant,1999,Drama|Thriller|Horror|Comedy,5.728,101,2.0848,ru
9423,Virus,1999,Horror|Action|Science Fiction,5.406,678,1.9748,en
10388,The Limey,1999,Crime|Drama|Thriller|Mystery,6.542,496,2.7713,en
13787,Holy Smoke,1999,Comedy|Drama,5.7,228,2.1696,en
10355,Shiri,1999,Action|Adventure|Drama|Thriller,6.434,188,2.0948,ko
68837,Railroad Man,1999,Drama,7.1,45,2.8245,ja
26945,Cardcaptor Sakura: The Movie,1999,Fantasy|Animation|Adventure,7.652,164,2.3294,ja
44554,A Man Called Hero,1999,Action|Adventure|Fantasy,5.9,66,1.6585,cn
51182,Sex: The Annabel Chong Story,1999,Documentary,6.0,27,1.7972,en
12276,The Road Home,1999,Drama|Romance,7.458,227,2.0849,zh
38809,Black and White,1999,Drama,4.644,73,1.6566,en
15400,Mickey's Once Upon a Christmas,1999,Animation|Family|Comedy,7.137,714,2.2101,en
17681,Scooby-Doo! and the Witch's Ghost,1999,Comedy|Mystery|Family|Fantasy|Animation,7.4,482,2.1329,en
162072,Doraemon: Nobita Drifts in the Universe,1999,Animation|Adventure|Family|Science Fiction|Comedy|Fantasy,6.7,17,1.5852,ja
11660,Following,1999,Drama|Thriller,7.1,1852,2.0487,en
268998,Pokémon: Pikachu's Winter Vacation 2,1999,Animation|Adventure|Comedy|Family,5.821,14,1.7805,ja
68833,The Perfect Education,1999,Drama,5.4,14,2.0002,ja
17707,Brokedown Palace,1999,Drama|Thriller|Mystery,6.439,408,2.3784,en
15198,Mystery  Alaska,1999,Drama|Comedy,6.266,280,1.6584,en
173925,Yana's Friends,1999,Romance|Drama|Comedy,6.0,12,1.2545,he
71186,The Rifleman of the Voroshilov Regiment,1999,Drama|Action|Crime,7.08,137,1.8751,ru
11353,Bowfinger,1999,Comedy,6.186,946,1.9034,en
15256,200 Cigarettes,1999,Comedy|Drama|Romance,5.793,181,1.6514,en
10219,Snow Falling on Cedars,1999,Drama|Romance,6.1,150,1.8371,en
114719,Friends & Lovers,1999,Comedy|Romance|Drama,4.9,31,1.4692,en
32274,Cradle Will Rock,1999,Drama,6.49,97,1.7919,en
3293,Pirates of Silicon Valley,1999,Drama|TV Movie,7.0,598,1.8145,en
13824,Superstar,1999,Comedy,5.3,316,1.599,en
19594,Bartok the Magnificent,1999,Animation|Comedy|Family|Fantasy|Music,6.018,222,1.492,en
10354,True Crime,1999,Crime|Thriller|Mystery,6.531,859,1.6395,en
12220,The Story of Us,1999,Drama|Comedy|Romance,6.074,360,1.591,en
20024,The End of the Affair,1999,Romance|Drama,6.6,272,1.5825,en
10390,For Love of the Game,1999,Drama|Romance,6.412,467,1.5964,en
11374,EDtv,1999,Comedy,5.946,695,2.1822,en
1439,Anna and the King,1999,Drama|Romance|History,6.789,826,1.6861,en
9849,My Favorite Martian,1999,Comedy|Family|Science Fiction,5.678,348,1.4788,en
53281,The Tricky Master,1999,Action|Comedy|Crime,5.972,54,1.7658,cn
7341,The Rage: Carrie 2,1999,Horror|Thriller|Science Fiction,5.652,460,1.389,en
10350,Wing Commander,1999,Science Fiction|Action|Adventure,4.816,286,2.027,en
5470,Beowulf,1999,Adventure|Fantasy|Action|Horror,4.4,250,1.9368,en
97787,Digimon Adventure,1999,Animation|Adventure|Action|Fantasy,7.527,93,2.145,ja
91017,The Key to Sex,1999,Comedy,5.958,24,1.4375,en
13099,Gen-X Cops,1999,Action|Comedy|Crime|Thriller,5.39,68,1.3478,cn
815,Animal Farm,1999,Drama|Comedy,5.684,160,1.4482,en
16716,A Christmas Carol,1999,Drama|Fantasy,6.965,227,1.4165,en
46286,The Suburbans,1999,Comedy|Drama|Music,3.985,34,1.3612,en
37576,The Ring Virus,1999,Horror|Thriller,5.012,42,0.9492,ko
274669,Century of the Dragon,1999,Thriller|Crime|Action,6.667,18,2.4126,cn
315520,The Uncut Story of Mewtwo's Origin,1999,Animation|Drama|Fantasy,7.9,25,1.4657,ja
31582,Flawless,1999,Comedy|Drama|Crime,6.159,301,1.5165,en
16371,Tell Me Something,1999,Thriller|Crime|Mystery|Horror,6.212,59,1.1954,ko
10496,Bats,1999,Horror|Thriller|Science Fiction,4.6,213,1.6387,en
2290,Jakob the Liar,1999,Comedy|Drama|History,6.694,404,1.5706,en
26177,Annie,1999,Music|Family|Comedy,6.497,196,1.4376,en
318718,Ultraman Tiga & Ultraman Dyna & Ultraman Gaia: The Battle in Hyperspace,1999,Science Fiction|Action|Adventure,7.267,15,1.7952,ja
9781,Detroit Rock City,1999,Comedy|Music|Adventure,6.762,452,1.359,en
257657,Julia,1999,Drama|Romance,3.9,22,1.5362,fr
132802,Hellblock 13,1999,Horror,4.071,14,1.6344,en
22314,In Too Deep,1999,Drama|Action|Thriller|Crime,6.5,117,1.6777,en
27123,The Trench,1999,War|History,5.4,107,2.5034,en
1641,Forces of Nature,1999,Romance|Comedy,5.459,593,1.4128,en
27074,Oklahoma!,1999,Romance|Music|Western,6.7,29,2.4932,en
137990,Body Weapon,1999,Action|Crime|Thriller,5.559,17,1.2344,cn
14271,Beyond the Mat,1999,Documentary,7.3,92,1.1578,en
22345,Baby Geniuses,1999,Science Fiction|Comedy|Family,4.141,414,2.6993,en
22509,The Devil's Arithmetic,1999,TV Movie|Drama|Thriller|Fantasy,6.828,107,1.1935,en
128979,Treasure Island,1999,Adventure|Family|Action,5.3,15,1.8618,en
36756,Pokémon: Pikachu's Rescue Adventure,1999,Animation|Comedy|Adventure|Family,6.278,45,1.3801,ja
34766,Zenon: Girl of the 21st Century,1999,Family|Adventure|Comedy|Science Fiction|TV Movie,6.078,193,1.4589,en
374095,The Diary,1999,TV Movie|Romance|Drama,4.3,10,1.5326,en
14383,The Sex Monster,1999,Comedy,5.153,62,1.6334,en
10399,Mansfield Park,1999,Romance|Drama,6.691,333,1.482,en
50008,RKO 281,1999,Drama|History|TV Movie,6.5,101,2.2486,en
8970,The Out-of-Towners,1999,Comedy|Romance|Adventure,5.802,257,1.5001,en
11129,Human Traffic,1999,Comedy|Drama,6.799,395,1.4449,en
17433,Street Fighter Alpha: The Movie,1999,Action|Animation|Science Fiction,6.431,108,1.2831,ja
208210,The Conmen in Vegas,1999,Action|Comedy,6.091,22,1.2819,cn
21349,Anywhere but Here,1999,Drama|Comedy|Romance,6.067,297,1.6877,en
30923,Alice in Wonderland,1999,Fantasy|Family,6.2,393,1.446,en
22267,Ride with the Devil,1999,Drama|War|Romance|Western,6.349,209,1.2571,en
76739,Lansky,1999,Drama|Crime|TV Movie,5.6,29,1.2586,en
11332,8 ½ Women,1999,Drama|Comedy,5.486,69,1.2078,en
17914,Safe Sex,1999,Comedy,6.5,40,1.8891,el
24071,Mumford,1999,Comedy|Drama|Romance,6.514,108,2.385,en
40863,Jackie Chan: My Stunts,1999,Documentary,7.238,61,1.241,cn
36988,Heart,1999,Thriller,5.385,13,2.234,en
47940,Padayappa,1999,Drama|Action,7.5,62,1.5034,ta
25896,Coming Soon,1999,Romance|Comedy,5.684,38,1.3582,en
16162,The Best Man,1999,Drama|Comedy,6.623,155,1.2549,en
25172,Komodo,1999,Adventure|Horror|Thriller|Science Fiction,5.155,102,1.024,en
39964,Lost & Found,1999,Comedy|Romance,5.036,97,1.4792,en
271721,Kadhalar Dhinam,1999,Drama|Romance,7.9,10,1.1075,ta
46991,An Affair of Love,1999,Romance|Drama,6.354,79,1.2404,fr
49981,Goodbye Lover,1999,Thriller|Comedy|Crime|Mystery,5.61,73,1.4438,en
17709,Dudley Do-Right,1999,Comedy|Family|Romance,4.132,201,1.2439,en
30237,Onegin,1999,Drama|Romance,6.102,118,1.2549,en
27058,Diplomatic Siege,1999,Action|Thriller,4.3,33,1.3447,en
17962,After Life,1999,Fantasy|Drama,7.2,278,1.4326,ja
21039,Rogue Trader,1999,Drama|History|Thriller,5.894,132,1.4251,en
23356,Purgatory,1999,Fantasy|Western|TV Movie,7.188,125,1.4214,en
2700,Esther,1999,Adventure|Drama|TV Movie,6.8,39,1.1734,en
62676,Limbo,1999,Adventure|Drama|Thriller,6.6,74,1.543,en
362062,Web of Seduction,1999,Thriller|Drama|Mystery,4.9,12,1.479,en
47439,Time Regained,1999,Drama,6.279,68,1.3374,fr
60994,Guinevere,1999,Drama|Romance,5.829,38,2.1801,en
68426,Get Bruce!,1999,Comedy|Documentary,6.545,11,1.9518,en
10397,Angela's Ashes,1999,Drama,7.313,350,1.2707,en
16112,The Adventures of Elmo in Grouchland,1999,Family|Comedy|Adventure|Music,6.364,92,1.201,en
26149,Music of the Heart,1999,Drama|Music,6.673,226,1.2666,en
11779,Buena Vista Social Club,1999,Documentary|Music,7.5,375,1.5528,en
13428,Two Hands,1999,Comedy|Crime|Thriller,6.566,159,1.1054,en
14429,Drive Me Crazy,1999,Romance|Comedy|Drama,6.56,430,1.2564,en
