id,title,release_year,genres,vote_average,vote_count,popularity,original_language
62029,Bingo Bongo,1982,Comedy,5.7,176,36.293,it
12104,Pink Floyd: The Wall,1982,Music|Drama,7.93,1642,23.0816,en
222517,Snow White and 7 Wise Men,1982,Comedy,4.7,17,15.2602,it
1368,First Blood,1982,Action|Adventure|Thriller|War,7.509,6892,12.7948,en
78,Blade Runner,1982,Science Fiction|Drama|Thriller,7.938,15001,12.0525,en
601,E.T. the Extra-Terrestrial,1982,Adventure|Science Fiction|Family,7.516,12011,12.6491,en
80785,Amazon Jail,1982,Thriller|Adventure|Action,4.34,25,9.5776,pt
1091,The Thing,1982,Horror|Mystery|Science Fiction,8.1,7943,10.5475,en
54989,Love Strange Love,1982,Drama|History,5.9,69,6.0133,pt
9387,Conan the Barbarian,1982,Adventure|Fantasy|Action,6.806,2801,7.1576,en
1371,Rocky III,1982,Drama,6.904,4491,6.7628,en
11704,The Secret of NIMH,1982,Adventure|Animation|Drama|Family|Fantasy|Mystery|Science Fiction,7.5,939,4.3246,en
609,Poltergeist,1982,Horror,7.157,3324,5.3094,en
97,Tron,1982,Science Fiction|Action|Adventure,6.637,2751,4.2887,en
13342,Fast Times at Ridgemont High,1982,Comedy|Romance|Drama,6.8,1374,4.1158,en
150,48 Hrs.,1982,Crime|Action|Comedy,6.686,1714,4.158,en
10275,Shaolin Temple,1982,Action,7.039,140,5.445,zh
400510,Madam Scandal: Let Me Die for 10 Seconds,1982,Drama,4.6,17,3.1788,ja
262,The King of Comedy,1982,Drama|Comedy,7.784,2578,3.1919,en
6217,Cat People,1982,Fantasy|Horror,6.044,566,3.115,en
11639,The Dark Crystal,1982,Adventure|Family|Fantasy,7.1,1254,2.5655,en
783,Gandhi,1982,Drama|History,7.563,2507,3.6986,en
2665,Airplane II: The Sequel,1982,Comedy,6.1,1265,3.2241,en
9728,Friday the 13th Part III,1982,Horror|Thriller,5.9,1604,3.5071,en
9576,Tootsie,1982,Comedy|Romance,7.2,1925,3.0293,en
2623,An Officer and a Gentleman,1982,Drama|Romance,7.019,1197,3.8274,en
24740,The Entity,1982,Horror|Mystery|Thriller,6.79,561,4.2931,en
16407,Dragon Lord,1982,Action|Comedy,6.424,157,2.5486,cn
10676,Halloween III: Season of the Witch,1982,Horror|Science Fiction|Mystery,5.2,1540,2.8089,en
9037,Grease 2,1982,Comedy|Music|Romance,5.254,733,2.6574,en
15739,Annie,1982,Comedy|Drama|Family,6.574,767,3.1124,en
27088,The Last American Virgin,1982,Comedy,6.581,248,2.635,en
16441,The Beastmaster,1982,Fantasy|Adventure|Action,6.323,457,2.7867,en
154,Star Trek II: The Wrath of Khan,1982,Action|Adventure|Science Fiction|Thriller,7.4,2133,2.8735,en
14742,Night Shift,1982,Comedy,6.047,234,3.4201,en
16281,Creepshow,1982,Horror|Comedy,6.895,1151,2.8247,en
12614,Victor/Victoria,1982,Music|Comedy|Romance,7.3,447,2.5745,en
9442,Dead Men Don't Wear Plaid,1982,Comedy|Mystery|Crime,6.662,444,2.056,en
24226,The Verdict,1982,Drama,7.466,730,2.7832,en
10150,The Last Unicorn,1982,Fantasy|Animation|Family|Adventure,7.29,598,2.4226,en
10724,Firefox,1982,Science Fiction|Action|Adventure|Thriller,6.1,620,2.507,en
15764,Sophie's Choice,1982,Drama|Romance|War,7.322,936,1.9868,en
19415,Summer Lovers,1982,Drama|Romance|Comedy,5.4,85,3.4216,en
23942,Paradise,1982,Romance|Adventure,5.97,133,2.3521,en
39230,Mobile Suit Gundam III: Encounters in Space,1982,Animation|Science Fiction|Action,7.4,64,2.0012,ja
14373,Death Wish II,1982,Action|Crime|Thriller,6.26,534,1.9071,en
27726,Q: The Winged Serpent,1982,Crime|Horror|Mystery,5.709,495,2.4863,en
4193,Evil Under the Sun,1982,Thriller|Crime|Mystery|Drama,6.886,509,2.0136,en
23943,Zapped!,1982,Comedy,5.204,152,2.2099,en
30060,The Plague Dogs,1982,Adventure|Animation|Drama,7.844,291,1.9993,en
184004,Doraemon: Nobita and the Haunts of Evil,1982,Family|Animation|Adventure|Fantasy|Science Fiction,6.8,48,1.8728,ja
611252,Koichiro Uno's Wet and Riding,1982,Comedy,4.9,10,1.9303,ja
16363,The Best Little Whorehouse in Texas,1982,Comedy,6.251,177,1.9637,en
15600,Missing,1982,Drama|Mystery|Thriller,7.252,430,1.7638,en
37917,Honkytonk Man,1982,Drama|Music,6.382,199,2.6866,en
11541,The Year of Living Dangerously,1982,Romance|Drama,6.677,362,1.5071,en
9343,Fitzcarraldo,1982,Drama|Adventure,7.625,882,1.7076,de
140530,White Rose Campus,1982,Drama,5.0,15,1.7577,ja
79257,Mother Lode,1982,Action|Adventure|Thriller,5.684,38,2.6994,en
5961,Fanny and Alexander,1982,Fantasy|Drama|Mystery,7.8,880,1.7172,sv
171,The Party 2,1982,Comedy|Romance|Drama,6.4,659,1.8775,fr
17918,Swamp Thing,1982,Horror|Science Fiction,5.416,460,2.9542,en
415541,My Pussy is the Best,1982,Comedy|Drama,5.0,10,1.3272,es
149974,El día de los albañiles,1982,Comedy,5.806,18,1.6863,es
28940,Eating Raoul,1982,Comedy|Crime,6.5,149,1.7488,en
148850,Caligula: The Untold Story,1982,Drama|History|Horror,5.5,48,1.7004,it
67347,The Dead and the Deadly,1982,Comedy|Horror|Fantasy|Action,6.056,26,1.5499,cn
11564,Class of 1984,1982,Action|Crime|Drama|Thriller,6.424,401,1.4432,en
185648,The Girl and the Wooden Horse Torture,1982,Thriller|Horror,5.864,21,2.2575,ja
4023,A Thousand Billion Dollars,1982,Thriller,6.9,62,1.691,fr
64527,A Pool Without Water,1982,Drama|Crime|Romance,5.412,17,1.5827,ja
39382,Ivanhoe,1982,History|Adventure|TV Movie,6.371,58,2.717,en
56793,Long Live the Seal,1982,Comedy,6.476,41,1.5981,it
16235,Amityville II: The Possession,1982,Horror,5.8,403,1.7808,en
39899,Turkey Shoot,1982,Science Fiction|Action|Horror,5.379,103,1.5834,en
74262,The Miracle Fighters,1982,Action|Comedy|Fantasy,7.4,30,2.2071,cn
47947,Young Doctors in Love,1982,Comedy,5.3,67,1.4721,en
255973,The Herdsman,1982,Drama|Romance,7.5,18,2.6287,zh
3526,Frances,1982,Drama,6.9,123,2.7089,en
192396,Horny Working Girl: From 5 to 9,1982,Drama|Comedy,4.4,10,1.2594,ja
2644,Aces Go Places,1982,Action|Comedy,6.7,89,1.515,cn
31646,Piranha II: The Spawning,1982,Horror,4.331,305,1.9784,en
42251,Forbidden World,1982,Horror|Science Fiction,5.272,193,2.4647,en
17590,Deathtrap,1982,Comedy|Crime|Thriller|Drama,6.667,303,1.1743,en
16127,Forbidden Zone,1982,Music|Comedy|Fantasy,6.2,109,1.5287,en
29702,Tenebre,1982,Horror|Thriller|Mystery,6.807,693,1.7193,it
13945,The Sword and the Sorcerer,1982,Action|Adventure|Fantasy|Horror,5.5,138,1.6807,en
9699,Trail of the Pink Panther,1982,Comedy|Crime|Mystery,5.19,321,1.1957,en
42135,Querelle,1982,Drama|Crime,6.592,206,1.7078,en
20188,Buddha's Palm,1982,Action|Fantasy,7.765,34,1.4671,cn
107641,Onimasa: A Japanese Godfather,1982,Action|Crime|Drama,6.2,26,1.3463,ja
4628,Enigma,1982,Drama|Thriller,5.619,42,2.3739,en
41378,Five Element Ninjas,1982,Action|Drama,6.883,94,1.2198,zh
48249,Tempest,1982,Comedy|Drama|Romance,5.989,45,1.2653,en
42134,Moonlighting,1982,Drama,7.0,72,1.2058,en
11340,Banana Joe,1982,Action|Comedy,6.665,502,1.2699,it
11307,The World According to Garp,1982,Drama|Comedy,6.662,380,1.599,en
41291,One from the Heart,1982,Drama|Romance,6.0,208,1.3165,en
13396,The Snowman,1982,Adventure|Animation|Family|Fantasy,7.6,350,1.4306,en
19322,Who Dares Wins,1982,Action|Thriller,6.324,51,1.3519,en
41017,Gauche the Cellist,1982,Animation|Music|Fantasy,7.2,83,1.4496,ja
72445,Boat People,1982,Drama,7.629,58,1.4344,cn
27609,Personal Best,1982,Drama,6.0,52,1.2771,en
13776,Diner,1982,Comedy|Drama,6.8,306,1.1986,en
64992,Human Lanterns,1982,Horror|Action,6.2,49,1.7462,zh
67772,Come Back to the 5 & Dime  Jimmy Dean  Jimmy Dean,1982,Drama,5.947,76,1.202,en
65733,An Ideal Adventure,1982,Comedy,4.855,31,1.7279,it
14645,Santa Claus Is a Stinker,1982,Comedy,7.323,1064,1.1864,fr
28574,Violence in a Women's Prison,1982,Action|Thriller|Horror,5.7,68,1.2509,it
31665,Barbarosa,1982,Western|Action,5.9,44,2.1871,en
157229,Nomad,1982,Drama|Romance|Thriller,6.864,22,1.2453,cn
23615,The Scarlet Pimpernel,1982,Romance|TV Movie|Adventure,6.735,51,1.3268,en
81850,Space Adventure Cobra: The Movie,1982,Animation|Science Fiction|Action|Adventure,6.7,72,1.4228,ja
103210,Fighting Back,1982,Action|Thriller|Crime|Drama,5.81,21,1.3913,en
5972,Witness for the Prosecution,1982,Crime|Drama|TV Movie,6.5,23,1.0166,en
71524,Ace of Aces,1982,Adventure|Comedy,7.1,351,1.3051,fr
103117,Desirable Teacher 2,1982,Comedy,5.362,69,1.3252,it
40952,Alone in the Dark,1982,Horror|Thriller,5.883,163,1.1698,en
27813,Basket Case,1982,Horror|Comedy,6.2,467,1.3434,en
67851,Space Runaway Ideon: Be Invoked,1982,Science Fiction|Animation|Action|War|Drama,8.071,14,0.9144,ja
30874,The New York Ripper,1982,Horror|Crime|Thriller|Mystery,6.3,328,1.1405,it
