id,title,release_year,genres,vote_average,vote_count,popularity,original_language
405818,Door II: Tokyo Diary,1991,Drama|Thriller,6.1,14,89.4555,ja
280,Terminator 2: Judgment Day,1991,Action|Thriller|Science Fiction,8.15,14310,17.8783,en
10020,Beauty and the Beast,1991,Romance|Family|Animation|Fantasy,7.728,10675,13.7039,en
64348,Robotrix,1991,Action|Comedy|Crime|Romance|Science Fiction|Thriller,6.0,48,9.7627,cn
1089,Point Break,1991,Action|Thriller|Crime,7.155,3988,9.2666,en
1598,Cape Fear,1991,Drama|Crime|Thriller,7.3,3860,11.8454,en
15804,A Brighter Summer Day,1991,Crime|Drama|Romance,8.3,389,7.8603,zh
8367,Robin Hood: Prince of Thieves,1991,Action|Adventure|Drama,6.858,3585,5.3498,en
1541,Thelma & Louise,1991,Drama|Crime|Adventure,7.603,3875,7.0328,en
879,Hook,1991,Adventure|Fantasy|Comedy|Family,6.844,5735,7.5766,en
59053,The Raffle,1991,Drama,6.822,208,5.5458,it
9594,Double Impact,1991,Thriller|Action|Crime|Drama,6.2,1210,6.6517,en
1633,Fried Green Tomatoes,1991,Drama|Comedy,7.664,1479,5.1073,en
17467,Riki-Oh: The Story of Ricky,1991,Action|Crime|Comedy|Science Fiction|Thriller,6.9,368,4.8066,cn
47423,Once a Thief,1991,Action|Comedy|Thriller|Crime,6.9,181,3.8654,cn
2907,The Addams Family,1991,Comedy|Fantasy,7.1,5039,4.8927,en
274,The Silence of the Lambs,1991,Crime|Thriller|Drama,8.345,18008,4.41,en
650,Boyz n the Hood,1991,Crime|Drama,7.63,2256,4.4637,en
11187,Child's Play 3,1991,Horror|Thriller,5.901,1750,4.4453,en
4032,My Girl,1991,Comedy|Drama,7.415,2290,4.619,en
78428,Erotic Ghost Story II,1991,Horror|Fantasy,4.9,33,4.575,cn
9595,Hot Shots!,1991,Action|Comedy|War,6.591,2446,4.3785,en
10617,Once Upon a Time in China,1991,Action|Drama,7.119,483,4.8363,cn
11284,Freddy's Dead: The Final Nightmare,1991,Horror|Thriller,5.306,1476,4.1657,en
37137,The Naked Gun 2½: The Smell of Fear,1991,Comedy|Crime,6.8,2765,4.5978,en
