id,title,release_year,genres,vote_average,vote_count,popularity,original_language
862,Toy Story,1995,Family|Comedy|Animation|Adventure,7.976,19910,33.6951,en
807,Se7en,1995,Crime|Mystery|Thriller,8.382,23115,23.7189,en
27098,All Things Fair,1995,Drama|Romance|War,6.428,173,24.1092,sv
19404,Dilwale Dulhania Le Jayenge,1995,Comedy|Drama|Romance,8.5,4591,18.3882,hi
949,Heat,1995,Crime|Drama|Action,7.936,8361,15.9083,en
9312,Mortal Kombat,1995,Action|Fantasy,5.901,2553,12.3459,en
76,Before Sunrise,1995,Drama|Romance,7.974,4696,10.8992,en
629,The Usual Suspects,1995,Drama|Crime|Thriller,8.169,11426,10.4451,en
197,Braveheart,1995,Action|Drama|History|War,7.945,11120,9.9198,en
158576,Private Obsession,1995,Drama|Thriller,4.5,20,6.8772,en
9323,Ghost in the Shell,1995,Action|Animation|Science Fiction,7.921,3885,8.8873,ja
710,GoldenEye,1995,Adventure|Action|Thriller,6.902,4332,8.5298,en
9737,Bad Boys,1995,Action|Comedy|Crime|Thriller,6.829,6956,9.2004,en
10474,The Basketball Diaries,1995,Drama|Crime,7.4,2210,8.2348,en
9603,Clueless,1995,Comedy|Romance,7.255,4801,6.4821,en
524,Casino,1995,Crime|Drama,8.0,6549,8.8821,en
568,Apollo 13,1995,Drama|History,7.461,5923,6.8729,en
1572,Die Hard: With a Vengeance,1995,Action|Thriller,7.28,6671,6.3273,en
284552,Lover of the Last Empress,1995,Drama|History,5.75,28,9.2661,cn
9804,Waterworld,1995,Adventure|Action|Science Fiction,6.231,4084,7.9282,en
406,La Haine,1995,Drama,8.086,4560,6.1345,fr
21835,A Chinese Odyssey Part Two: Cinderella,1995,Action|Adventure|Fantasy|Comedy|Romance|Drama,7.7,262,6.1934,cn
63,Twelve Monkeys,1995,Science Fiction|Thriller|Mystery,7.608,9131,7.8554,en
9090,To Wong Foo  Thanks for Everything! Julie Newmar,1995,Comedy|Drama,7.4,782,7.1311,en
228794,Provocation,1995,Drama|Romance,5.396,24,6.4115,it
13345,A Chinese Odyssey Part One: Pandora's Box,1995,Action|Adventure|Fantasy|Comedy|Romance|Drama,7.548,305,5.6841,cn
414,Batman Forever,1995,Action|Crime|Fantasy,5.456,5587,6.1918,en
8839,Casper,1995,Fantasy|Comedy|Family,6.341,4925,6.0432,en
47002,Love Letter,1995,Drama|Romance,7.8,265,6.1283,ja
10634,Friday,1995,Comedy|Drama,7.145,2018,6.9372,en
10530,Pocahontas,1995,Adventure|Animation|Family|Romance,6.9,6072,5.8111,en
11220,Fallen Angels,1995,Action|Romance|Crime,7.681,1306,4.9888,cn
8068,Desperado,1995,Thriller|Action|Crime,6.935,3143,6.6073,en
10802,Showgirls,1995,Drama,5.568,1384,5.4234,en
37797,Whisper of the Heart,1995,Animation|Drama|Family,7.949,2280,5.6455,ja
9598,Babe,1995,Fantasy|Drama|Comedy|Family,6.277,3124,4.8854,en
4584,Sense and Sensibility,1995,Drama|Romance,7.423,1840,6.1581,en
9348,Species,1995,Science Fiction|Horror|Action,5.984,1849,4.7067,en
6950,Outbreak,1995,Action|Drama|Science Fiction|Thriller,6.569,2482,5.3652,en
8844,Jumanji,1995,Adventure|Fantasy|Family,7.248,11317,4.478,en
