id,title,release_year,genres,vote_average,vote_count,popularity,original_language
278,The Shawshank Redemption,1994,Drama|Crime,8.722,30499,76.3536,en
680,Pulp Fiction,1994,Thriller|Crime|Comedy,8.483,30247,33.8069,en
8587,The Lion King,1994,Animation|Family|Drama,8.3,19705,27.1028,en
13,Forrest Gump,1994,Comedy|Drama|Romance,8.465,29799,28.6181,en
101,Léon: The Professional,1994,Crime|Drama|Action,8.295,16130,18.668,fr
854,The Mask,1994,Comedy|Fantasy|Crime|Romance,6.989,11266,11.5288,en
11104,Chungking Express,1994,Drama|Comedy|Romance,7.969,2197,9.1487,cn
4476,Legends of the Fall,1994,Drama|Western|Romance|War,7.39,2854,7.5544,en
8467,Dumb and Dumber,1994,Comedy,6.657,6729,7.858,en
1637,Speed,1994,Action|Thriller,7.156,6843,7.63,en
31439,To Live,1994,Drama|Romance|War,8.1,377,6.8024,zh
36955,True Lies,1994,Action|Thriller,7.096,4577,7.789,en
628,Interview with the Vampire,1994,Horror|Drama|Fantasy,7.391,6439,7.4371,en
888,The Flintstones,1994,Fantasy|Comedy|Family,5.374,2620,6.5468,en
10897,The Little Rascals,1994,Romance|Comedy|Family,6.819,1324,6.5604,en
32629,A Chinese Torture Chamber Story,1994,Horror|Comedy|Drama,5.694,72,5.9441,cn
2164,Stargate,1994,Action|Adventure|Science Fiction,7.02,3802,6.1147,en
17809,Fist of Legend,1994,Action,7.48,610,8.0842,zh
67120,Sex and the Emperor,1994,Drama|Comedy|Romance,4.182,22,5.4811,cn
2124,Color of Night,1994,Romance|Mystery|Thriller,5.762,628,5.367,en
18190,Dream Lover,1994,Drama|Mystery|Thriller,6.488,129,5.4464,en
9495,The Crow,1994,Fantasy|Action|Thriller,7.522,4527,6.0698,en
3049,Ace Ventura: Pet Detective,1994,Comedy|Crime|Mystery,6.581,6389,5.6376,en
12207,The Legend of Drunken Master,1994,Action|Comedy,7.449,1083,5.1382,cn
161715,Doraemon: Nobita's Three Visionary Swordsmen,1994,Animation|Family|Adventure|Comedy|Fantasy|Science Fiction,7.375,32,4.5934,ja
13375,The Tit and the Moon,1994,Drama|Comedy,6.3,93,5.4695,es
11212,Baby's Day Out,1994,Comedy|Adventure|Family|Crime,6.416,1456,5.534,en
8984,Disclosure,1994,Thriller|Drama|Crime,6.2,1274,5.5518,en
10660,It Could Happen to You,1994,Comedy|Drama|Romance,6.735,936,4.1469,en
41387,From Beijing with Love,1994,Action|Comedy,7.002,233,5.4515,cn
36593,Naked Gun 33⅓: The Final Insult,1994,Comedy|Crime,6.5,2522,4.8153,en
12160,Wyatt Earp,1994,Western|Drama,6.793,940,5.8173,en
10731,The Client,1994,Drama|Thriller|Crime|Mystery,6.687,1382,4.4588,en
11667,Street Fighter,1994,Action|Comedy|Fantasy,4.676,1632,4.4324,en
9331,Clear and Present Danger,1994,Action|Drama|Thriller,6.642,1681,3.7599,en
2292,Clerks,1994,Comedy,7.373,2764,3.5665,en
2636,The Specialist,1994,Action|Thriller,5.937,1441,4.7127,en
28032,Thumbelina,1994,Animation|Fantasy|Romance|Family,6.5,538,3.8815,en
18670,Legend of the Red Dragon,1994,Action|Comedy|Thriller,7.018,167,4.0296,cn
19503,God of Gamblers' Return,1994,Action|Comedy,6.631,217,3.5161,cn
241,Natural Born Killers,1994,Crime|Thriller|Drama,7.054,3797,4.402,en
11011,Ri¢hie Ri¢h,1994,Comedy|Family,5.941,2417,4.4874,en
10451,Eat Drink Man Woman,1994,Comedy|Drama|Romance,7.621,404,3.6215,zh
15969,The Return of Jafar,1994,Family|Adventure|Animation|Romance,6.242,3445,3.736,en
9587,Little Women,1994,Drama|Romance,7.275,1345,4.4832,en
11231,The Next Karate Kid,1994,Action|Drama|Family|Adventure,5.4,1161,3.4659,en
63718,Shaolin Popey,1994,Action|Romance|Comedy,6.315,27,2.3122,zh
