id,title,release_year,genres,vote_average,vote_count,popularity,original_language
11012,Damage,1992,Drama|Romance,6.566,685,137.859,en
105825,Erotic Ghost Story III,1992,Horror|Drama|Fantasy,5.597,31,13.7353,cn
812,Aladdin,1992,Animation|Family|Adventure|Fantasy|Romance,7.654,12020,13.8698,en
402,Basic Instinct,1992,Thriller|Mystery,6.949,4376,18.5695,en
772,Home Alone 2: Lost in New York,1992,Comedy|Family|Adventure,6.788,10629,12.5762,en
500,Reservoir Dogs,1992,Crime|Thriller,8.115,15472,9.1928,en
53064,Midori,1992,Animation|Drama|Horror,6.072,167,9.6939,ja
9475,Scent of a Woman,1992,Drama,7.787,3944,8.6012,en
10995,The Lover,1992,Drama|Romance,6.997,758,7.9304,fr
6114,Bram Stoker's Dracula,1992,Romance|Horror,7.452,5769,8.6872,en
33,Unforgiven,1992,Western,7.912,4954,7.9875,en
364,Batman Returns,1992,Action|Fantasy,6.946,7096,6.2672,en
11134,Police Story 3: Super Cop,1992,Action|Crime|Thriller,6.908,571,7.994,cn
8077,Alien³,1992,Science Fiction|Action|Horror,6.387,6373,6.0215,en
26877,Naked Killer,1992,Action|Crime|Thriller,6.0,93,6.9644,cn
49292,Animal Instincts,1992,Drama|Thriller,4.912,51,6.6086,en
11782,Hard Boiled,1992,Action|Thriller|Crime,7.54,943,6.7268,cn
14684,School Ties,1992,Drama,6.498,428,5.4082,en
9374,Death Becomes Her,1992,Comedy|Fantasy|Horror,6.783,2971,5.8094,en
766,Army of Darkness,1992,Fantasy|Horror|Comedy,7.262,3514,5.0823,en
2322,Sneakers,1992,Comedy|Crime|Drama,6.909,1056,4.8271,en
108450,The Smile of the Fox,1992,Thriller,5.1,61,5.1466,it
11621,Porco Rosso,1992,Animation|Adventure|Fantasy,7.8,3717,4.7073,ja
9361,The Last of the Mohicans,1992,Action|History|Romance|War,7.386,3422,4.8321,en
763,Braindead,1992,Horror|Comedy,7.4,1844,4.9649,en
619,The Bodyguard,1992,Action|Drama|Romance,6.706,3244,4.723,en
943,Lethal Weapon 3,1992,Action|Thriller|Crime,6.7,3248,4.5363,en
1923,Twin Peaks: Fire Walk with Me,1992,Drama|Mystery|Horror,7.42,2266,5.7068,en
40213,New Dragon Gate Inn,1992,Action|Thriller,7.3,151,4.1965,cn
881,A Few Good Men,1992,Drama,7.547,4157,4.5488,en
26246,Incident at Oglala,1992,Documentary|Crime,7.147,17,4.0314,en
10497,Bitter Moon,1992,Thriller|Drama|Romance,7.11,853,5.5694,en
293,A River Runs Through It,1992,Drama,7.005,1198,4.3358,en
9349,Universal Soldier,1992,Thriller|Action|Science Fiction,6.343,1918,3.7876,en
2005,Sister Act,1992,Music|Comedy,6.827,3440,4.4042,en
11428,Sleepwalkers,1992,Horror|Fantasy|Thriller,6.089,614,4.0545,en
10403,The Player,1992,Mystery|Drama|Thriller|Comedy|Crime,7.2,952,3.3862,en
11806,Beethoven,1992,Family|Comedy,5.834,2239,4.8047,en
1883,Malcolm X,1992,Drama|History,7.553,1907,3.4219,en
10377,My Cousin Vinny,1992,Comedy|Drama,7.499,1880,3.8967,en
11287,A League of Their Own,1992,Comedy|Drama,7.213,1543,3.8152,en
53165,Fight Back to School 2,1992,Action|Comedy|Crime,6.858,116,4.2929,cn
16136,Juice,1992,Crime|Drama|Thriller,7.2,460,3.5799,en
8845,Under Siege,1992,Action|Thriller,6.309,1727,3.5457,en
11068,Singles,1992,Romance|Comedy|Drama,6.424,433,2.7763,en
10538,Passenger 57,1992,Action|Adventure|Thriller,6.022,1122,3.3833,en
9869,Patriot Games,1992,Drama|Action|Thriller|Crime,6.682,1819,3.3215,en
4507,Jamon Jamon,1992,Comedy|Drama|Romance,6.2,401,3.637,es
9876,Stop! Or My Mom Will Shoot,1992,Action|Comedy,5.333,1117,4.0279,en
25095,Wuthering Heights,1992,Drama|Romance,6.645,314,3.4771,en
47648,King of Beggars,1992,Action|Comedy|Drama,7.0,145,3.8048,cn
11066,Boomerang,1992,Comedy|Romance,5.675,631,3.1015,en
9529,Candyman,1992,Drama|Horror|Thriller,6.676,1804,2.964,en
18764,Twin Dragons,1992,Action|Comedy|Crime,6.7,427,3.704,cn
51730,Royal Tramp,1992,Action|Comedy,7.1,132,2.575,cn
8872,Wayne's World,1992,Comedy|Music,6.69,2472,3.052,en
8293,Howards End,1992,Drama|Romance,7.0,596,3.4374,en
60145,All's Well  Ends Well,1992,Comedy|Romance,7.108,97,3.1978,cn
9264,Poison Ivy,1992,Thriller|Drama,5.5,399,3.5319,en
16219,Gladiator,1992,Drama,7.637,402,3.8804,en
10618,Once Upon a Time in China II,1992,Action|Comedy,7.172,285,3.5086,cn
13225,FernGully: The Last Rainforest,1992,Family|Fantasy|Animation|Adventure,6.392,637,2.8978,en
11087,The Hand That Rocks the Cradle,1992,Drama|Thriller,6.9,1012,3.0975,en
1492,1492: Conquest of Paradise,1992,Action|Adventure|Drama|History,6.3,919,3.2384,en
39103,Dragon Ball Z: The Return of Cooler,1992,Action|Animation|Science Fiction,6.458,1103,2.9789,ja
39104,Dragon Ball Z: Super Android 13!,1992,Action|Animation|Science Fiction,6.932,614,2.913,ja
92779,Seedpeople,1992,Horror|Science Fiction,4.4,44,2.5362,en
40105,Dr. Lamb,1992,Crime|Horror,5.4,35,2.5282,cn
19087,Ladybugs,1992,Comedy|Family|Romance,5.6,180,2.8299,en
14239,Cool World,1992,Animation|Comedy|Fantasy,5.7,803,3.8024,en
134162,Doraemon: Nobita and the Kingdom of Clouds,1992,Animation|Fantasy|Family|Adventure|Comedy|Science Fiction,7.139,36,2.4958,ja
11259,Far and Away,1992,Adventure|Drama|Romance|Western,6.775,1300,2.5088,en
172752,Cash on Delivery,1992,Drama|Comedy|Romance|Crime,4.375,12,2.611,cn
2731,Indochine,1992,Drama|Romance,7.0,236,2.539,fr
27073,Full Contact,1992,Crime|Action|Thriller,6.8,122,2.399,cn
10406,Encino Man,1992,Comedy,5.819,706,2.3994,en
18672,The Legend of the Swordsman,1992,Action|Fantasy|Adventure,6.55,130,3.5123,cn
11597,Toys,1992,Fantasy|Comedy|Science Fiction,5.3,584,2.3231,en
10437,The Muppet Christmas Carol,1992,Music|Comedy|Family|Fantasy|Drama,7.444,1162,2.5955,en
24230,Nemesis,1992,Science Fiction|Thriller|Action,5.44,175,2.1071,en
10435,Chaplin,1992,Drama,7.41,1216,2.2262,en
49822,The Heart of Justice,1992,Mystery|Crime|Drama|Thriller|TV Movie,5.8,23,2.613,en
9278,Freejack,1992,Science Fiction|Action|Crime|Drama,5.501,357,2.6978,en
132169,Mr Vampire 1992,1992,Comedy|Horror,6.167,27,2.0865,cn
10906,Pet Sematary II,1992,Horror,5.5,601,2.1756,en
10206,Buffy the Vampire Slayer,1992,Action|Comedy|Horror,5.62,913,2.7154,en
16314,3 Ninjas,1992,Family|Action|Adventure|Comedy,5.691,472,2.4836,en
51731,Royal Tramp 2,1992,Action|Comedy,7.1,107,2.4021,cn
37420,Timescape,1992,Science Fiction|Adventure,6.5,81,2.4304,en
10699,Hero,1992,Comedy|Drama,6.3,535,2.466,en
118465,Escape from Brothel,1992,Action|Crime|Drama|Thriller,6.385,13,2.3389,cn
13199,American Me,1992,Crime|Drama,7.4,400,2.5382,en
5765,Knight Moves,1992,Mystery|Thriller,5.8,243,2.3533,en
10414,The Mighty Ducks,1992,Comedy|Drama|Family,6.6,979,2.1621,en
36616,Bebe's Kids,1992,Animation|Comedy,6.035,72,1.8102,en
10410,Hoffa,1992,Crime|History|Drama,6.269,361,2.0838,en
45030,Hard Hunted,1992,Action|Thriller,4.5,48,2.9327,en
12143,Bad Lieutenant,1992,Crime|Drama,7.002,959,2.2635,en
16562,The Cutting Edge,1992,Romance|Comedy|Drama,7.2,406,2.983,en
10163,The Lawnmower Man,1992,Science Fiction|Horror,5.6,845,2.2137,en
12088,Fortress,1992,Action|Thriller|Science Fiction,6.066,730,2.0681,en
11386,The Crying Game,1992,Crime|Drama|Thriller,6.8,847,2.164,en
11158,Honey  I Blew Up the Kid,1992,Adventure|Comedy|Family|Science Fiction,5.279,1275,2.0489,en
9609,Of Mice and Men,1992,Drama,7.3,714,1.8701,en
22004,Trespass,1992,Action|Thriller|Crime,6.307,216,1.8396,en
4823,Final Analysis,1992,Drama|Thriller|Romance,5.8,316,2.0663,en
32517,Justice  My Foot!,1992,Comedy|Action|Crime,6.733,118,2.2915,cn
5899,The Northerners,1992,Comedy|Drama,6.918,61,2.2156,nl
12395,Thunderheart,1992,Crime|Mystery|Thriller,6.323,317,1.9998,en
9504,Glengarry Glen Ross,1992,Crime|Drama|Mystery,7.33,1611,1.9598,en
37021,Ranma 1/2 the Movie 2: Nihao My Concubine,1992,Action|Comedy|Animation|Adventure,7.954,152,1.9664,ja
10407,Housesitter,1992,Comedy|Romance,6.143,466,2.0799,en
69011,Wicked City,1992,Action|Horror|Science Fiction,5.8,50,2.0305,cn
11569,Hellraiser III: Hell on Earth,1992,Horror|Thriller,5.659,843,2.1457,en
10326,Forever Young,1992,Adventure|Fantasy|Drama|Science Fiction|Romance,6.5,970,1.8585,en
19143,Diggstown,1992,Comedy|Drama,6.32,128,2.8059,en
13153,Rapid Fire,1992,Action|Thriller|Crime|Drama,6.4,255,1.8168,en
37753,Consenting Adults,1992,Thriller|Drama,5.42,168,1.6855,en
14002,Baraka,1992,Documentary,8.23,690,2.0223,en
17494,Unlawful Entry,1992,Thriller|Mystery,6.2,344,2.0664,en
66161,Handsome Siblings,1992,Action|Fantasy,6.4,18,1.6993,cn
12525,Critters 4,1992,Comedy|Horror|Science Fiction,5.0,343,2.4843,en
406898,The Demon Wet Nurse,1992,Drama,6.036,14,1.5632,zh
9096,Medicine Man,1992,Adventure|Drama|Romance,5.982,415,1.8393,en
12629,Live Wire,1992,Action|Thriller|Drama|TV Movie,5.284,95,1.9606,en
20811,The Master,1992,Action,6.547,138,2.4875,cn
73417,Fist of Fury 1991 II,1992,Action|Comedy,5.636,33,1.4933,cn
15300,Newsies,1992,Drama|History,6.739,297,1.6067,en
10158,White Men Can't Jump,1992,Comedy|Drama,6.646,1523,2.0892,en
28881,Wind,1992,Action|Drama,6.198,43,2.5955,en
23939,Stay Tuned,1992,Comedy|Fantasy,6.2,191,2.6522,en
20676,Deep Cover,1992,Action|Thriller|Crime,6.776,261,1.4744,en
20763,Radio Flyer,1992,Drama,7.0,206,2.8327,en
31962,Shining Through,1992,Drama|Romance|Thriller|War,6.5,225,1.371,en
18855,Operation Scorpio,1992,Action|Comedy,6.355,31,1.659,cn
27381,Innocent Blood,1992,Comedy|Horror|Crime|Action|Romance,6.2,251,2.4789,en
13006,Split Second,1992,Science Fiction|Action|Crime|Thriller|Horror,5.937,359,1.6306,en
2007,Lorenzo's Oil,1992,Drama,7.101,567,1.777,en
2687,Memoirs of an Invisible Man,1992,Science Fiction|Comedy|Romance|Thriller,5.887,648,1.4305,en
19380,White Sands,1992,Crime|Thriller|Action|Adventure,5.877,179,1.4644,en
61418,The Waterdance,1992,Drama,6.0,44,1.4752,en
37264,Straight Talk,1992,Comedy|Romance,6.013,79,2.5773,en
10608,Bob Roberts,1992,Comedy|Drama,6.5,178,1.7966,en
18183,Like Water for Chocolate,1992,Drama|Romance,7.27,556,1.7135,es
9605,Single White Female,1992,Thriller|Horror,6.313,699,1.5557,en
13937,Raising Cain,1992,Horror|Thriller|Crime|Mystery|Drama,6.074,392,1.7134,en
128657,Saint Tropez  Saint Tropez,1992,Comedy,4.313,24,1.7698,it
61964,Stepfather 3,1992,Horror|Thriller|TV Movie,5.4,53,2.3578,en
125186,Casino Tycoon II,1992,Thriller|Mystery|Crime,6.5,12,1.2627,cn
9300,Orlando,1992,Drama|Fantasy,6.925,385,1.6679,en
108777,Dreaming About You,1992,Comedy|Romance,7.2,76,1.5521,es
62383,Passed Away,1992,Comedy,5.262,21,1.5714,en
10409,Strictly Ballroom,1992,Comedy|Drama|Romance,6.6,379,1.8417,en
35936,Sarafina!,1992,Music|Drama|Family,6.149,47,1.4829,en
86161,Mobile Suit Gundam 0083: Afterglow of Zeon,1992,Action|Animation|Science Fiction,7.2,18,1.3488,ja
39465,Godzilla vs. Mothra,1992,Action|Adventure|Science Fiction,6.943,229,1.7856,ja
118385,Casino Tycoon,1992,Thriller|Crime,6.528,19,1.4776,cn
10411,The Distinguished Gentleman,1992,Comedy,6.032,328,1.8039,en
41768,Passion Fish,1992,Drama,6.968,63,2.0891,en
2613,Prelude to a Kiss,1992,Drama|Comedy|Romance,5.6,126,1.3123,en
36351,Light Sleeper,1992,Drama|Crime,6.707,214,1.2113,en
24065,Guncrazy,1992,Drama|Romance|Thriller|Crime,5.271,59,2.1516,en
14603,Kuffs,1992,Action|Comedy|Crime,5.772,226,2.3598,en
63032,Ghost Punting,1992,Action|Comedy,6.182,22,1.315,cn
23196,South Central,1992,Crime|Drama,6.772,103,2.1591,en
36238,Men Behind the Sun 2: Laboratory of the Devil,1992,War|Horror|Drama|Thriller,5.1,24,1.2957,zh
5234,Red Shoe Diaries,1992,Romance|Drama|Thriller|TV Movie,4.9,40,1.2925,en
26670,Noises Off...,1992,Comedy,7.148,219,2.169,en
12251,Mo' Money,1992,Action|Comedy|Crime|Romance|Thriller|Drama,5.52,153,1.3978,en
36257,Tiny Toon Adventures: How I Spent My Vacation,1992,Animation|Comedy|Family,6.756,88,1.281,en
25269,Article 99,1992,Drama,6.2,64,1.3038,en
83761,Life  and Nothing More…,1992,Drama|Adventure,7.7,175,1.3164,fa
11790,Peter's Friends,1992,Comedy|Drama,6.602,216,1.1514,en
30785,Evil Toons,1992,Comedy|Horror,4.9,126,2.3383,en
212648,Hanappe Bazooka,1992,Animation|Action|Comedy,6.1,16,1.256,ja
10412,Romper Stomper,1992,Action|Drama|Thriller,6.533,565,1.5826,en
47628,Trancers III,1992,Action|Science Fiction|Thriller,5.701,67,1.4581,en
324568,Delinquent in Drag,1992,Animation|Comedy|Action,5.618,17,1.1812,ja
12772,Leap of Faith,1992,Comedy|Drama|Romance,5.824,230,1.3962,en
48918,Shadow of the Wolf,1992,Adventure,5.786,28,0.993,en
25748,Children of the Corn II: The Final Sacrifice,1992,Horror,4.795,278,1.2817,en
33221,Into the West,1992,Adventure|Drama|Family|Fantasy|Western,6.357,56,1.1714,en
31303,Betty,1992,Drama,6.476,62,1.4329,fr
70423,CrissCross,1992,Crime|Drama,6.117,47,2.2298,en
26255,Love Potion No. 9,1992,Comedy|Romance|Fantasy,6.2,293,1.4504,en
22590,Sidekicks,1992,Action|Adventure|Drama|Family,5.281,194,1.1851,en
