id,title,release_year,genres,vote_average,vote_count,popularity,original_language
744,Top Gun,1986,Action|Drama|Romance,7.067,9579,15.2909,en
11986,Betty Blue,1986,Drama|Romance,7.202,467,9.4549,fr
679,Aliens,1986,Action|Thriller|Science Fiction,7.963,10869,11.2289,en
143308,Flower and Snake 3: Punishment,1986,Drama|Thriller|Horror,4.7,13,10.3483,ja
235,Stand by Me,1986,Crime|Drama,7.838,6523,7.6586,en
10515,Castle in the Sky,1986,Adventure|Fantasy|Animation|Action|Family,7.97,4687,7.0535,ja
10068,Nine 1/2 Weeks,1986,Drama|Romance,6.118,1132,7.0531,en
8009,Highlander,1986,Adventure|Action|Fantasy,6.864,2914,9.0446,en
393850,Senza vergogna,1986,Drama,4.8,13,7.4076,it
792,Platoon,1986,Drama|War|Action,7.75,5108,7.2227,en
81774,Exploits of a Young Don Juan,1986,Comedy|Drama,6.091,320,6.9332,fr
9426,The Fly,1986,Horror|Science Fiction,7.432,4967,6.0009,en
9377,Ferris Bueller's Day Off,1986,Comedy,7.569,5384,5.8704,en
6978,Big Trouble in Little China,1986,Action|Adventure|Comedy|Fantasy,7.204,3342,6.2455,en
13597,Labyrinth,1986,Adventure|Family|Fantasy,7.284,2743,6.4413,en
9874,Cobra,1986,Action|Crime|Thriller,6.153,1957,6.0567,en
793,Blue Velvet,1986,Mystery|Thriller|Crime,7.608,3830,4.8578,en
11471,A Better Tomorrow,1986,Action|Crime|Drama,7.385,613,4.7489,cn
10974,Armour of God,1986,Adventure|Action|Comedy,7.029,650,4.9402,cn
9671,Crocodile Dundee,1986,Adventure|Comedy,6.447,2115,4.5333,en
8856,The Karate Kid Part II,1986,Adventure|Drama|Action|Romance|Family,6.3,2476,4.7034,en
192,The Name of the Rose,1986,Drama|Thriller|Mystery,7.496,3322,4.5043,en
4978,An American Tail,1986,Adventure|Animation|Comedy|Drama|Family,6.759,1456,3.7421,en
9542,The Hitcher,1986,Horror|Action|Thriller,7.0,1053,3.6441,en
29187,Convent of Sinners,1986,Drama|Horror,5.3,29,3.4189,it
10017,The Wraith,1986,Action|Science Fiction,6.388,512,3.3463,en
12118,Police Academy 3: Back in Training,1986,Comedy|Crime,5.81,1368,3.9084,en
11522,Pretty in Pink,1986,Romance|Drama,6.7,1206,3.6845,en
