id,title,release_year,genres,vote_average,vote_count,popularity,original_language
4588,Lust  Caution,2007,Action|Drama|Romance|Thriller,7.273,804,19.1425,zh
559,Spider-Man 3,2007,Action|Adventure|Science Fiction,6.461,15230,20.6282,en
2062,Ratatouille,2007,Animation|Comedy|Family|Fantasy,7.842,18484,19.9717,en
285,Pirates of the Caribbean: At World's End,2007,Adventure|Fantasy|Action,7.272,15474,19.0931,en
675,Harry Potter and the Order of the Phoenix,2007,Adventure|Fantasy,7.672,20813,18.5366,en
6977,No Country for Old Men,2007,Crime|Thriller|Western,7.951,13338,16.015,en
30112,Lost in Beijing,2007,Romance|Drama,6.6,62,16.0945,zh
14324,Virgin Territory,2007,Adventure|Action|Comedy|Romance,4.957,371,15.2414,en
6479,I Am Legend,2007,Drama|Science Fiction|Thriller,7.216,16852,12.5403,en
1250,Ghost Rider,2007,Thriller|Action|Fantasy,5.607,6469,12.4137,en
7485,Shooter,2007,Drama|Action|Thriller,7.123,5461,11.8379,en
1271,300,2007,Action|Adventure|War,7.2,14728,10.1627,en
8363,Superbad,2007,Comedy,7.265,8096,10.289,en
13186,Wrong Turn 2: Dead End,2007,Horror|Thriller,6.149,1547,9.8387,en
1265,Bridge to Terabithia,2007,Adventure|Drama|Family,7.323,5245,9.5465,en
1949,Zodiac,2007,Crime|Mystery|Thriller,7.53,11562,9.2607,en
10030,Good Luck Chuck,2007,Comedy|Romance,5.934,1663,8.7389,en
810,Shrek the Third,2007,Fantasy|Adventure|Animation|Comedy|Family,6.31,9781,9.5146,en
9757,Norbit,2007,Comedy,5.7,2594,10.6656,en
15356,The Girl Next Door,2007,Thriller|Crime|Drama|Horror,6.649,785,10.153,en
35,The Simpsons Movie,2007,Animation|Comedy|Family,7.023,8549,7.8794,en
5876,The Mist,2007,Horror|Science Fiction|Thriller,6.944,5844,7.5916,en
4347,Atonement,2007,Drama|Romance,7.634,4704,8.0894,en
5174,Rush Hour 3,2007,Action|Comedy|Crime,6.5,3721,8.0758,en
5559,Bee Movie,2007,Family|Animation|Adventure|Comedy,6.045,5275,8.1042,en
